Electoral district number,Electoral district name,Last name (2015),First name (2015),Political affiliation (2015),% Votes obtained (2015)
24039,Laurier--Sainte-Marie,Laverdiere,Helene,NDP-New Democratic Party,38.3
24039,Laurier--Sainte-Marie,Poirier,Christine,Liberal,23.7
24040,Laval--Les iles,Breton,Yvon,Marxist-Leninist,0.3
24040,Laval--Les iles,Dick,Roland,Conservative,18.1
24040,Laval--Les iles,El-Khoury,Faycal,Liberal,47.7
24040,Laval--Les iles,Pilon,Francois,NDP-New Democratic Party,19.8
24040,Laval--Les iles,R'Guiba-Kalogerakis,Faiza,Green Party,1.7
24040,Laval--Les iles,Redhead,Nancy,Bloc Quebecois,12.4
24041,Longueuil--Charles-LeMoyne,Barre,Thomas,Conservative,9.6
24041,Longueuil--Charles-LeMoyne,Chenier,Pierre,Marxist-Leninist,0.3
24041,Longueuil--Charles-LeMoyne,Cloutier,Philippe,Bloc Quebecois,27
24041,Longueuil--Charles-LeMoyne,Groguhe,Sadia,NDP-New Democratic Party,24.1
24041,Longueuil--Charles-LeMoyne,Leclerc,Mario,Green Party,2.9
24041,Longueuil--Charles-LeMoyne,Liberman,Matthew Iakov,Rhinoceros,0.6
24041,Longueuil--Charles-LeMoyne,Romanado,Sherry,Liberal,35.4
24042,Levis--Lotbiniere,Belanger,Francois,ATN,0.2
24042,Levis--Lotbiniere,Biello,Tina,Green Party,1.8
24042,Levis--Lotbiniere,Bilodeau,Helene,NDP-New Democratic Party,14.8
24042,Levis--Lotbiniere,Boucher,Claude,Liberal,21.7
24042,Levis--Lotbiniere,Gagne,Steve,Bloc Quebecois,11.4
24042,Levis--Lotbiniere,Gourde,Jacques,Conservative,50.1
24043,Longueuil--Saint-Hubert,Lwalalika,Affine,Forces et Democratie - Allier les forces de nos regions,0.3
24043,Longueuil--Saint-Hubert,Nantel,Pierre,NDP-New Democratic Party,31.2
24043,Longueuil--Saint-Hubert,O'Grady,Michael,Liberal,30
24043,Longueuil--Saint-Hubert,Poitras,Casandra,Green Party,2.5
24043,Longueuil--Saint-Hubert,Sedlak,John,Conservative,8.7
24043,Longueuil--Saint-Hubert,Trudel,Denis,Bloc Quebecois,27.3
24044,Louis-Hebert,Asselin,Jean-Pierre,Conservative,27.2
24044,Louis-Hebert,Beaudoin-Julien,Andree-Anne,Green Party,2.5
24044,Louis-Hebert,Blanchette,Denis,NDP-New Democratic Party,20.8
24044,Louis-Hebert,Jetchick,Stefan,Christian Heritage Party,0.2
24044,Louis-Hebert,Lightbound,Joel,Liberal,34.8
24044,Louis-Hebert,Pageau,Caroline,Bloc Quebecois,14.4
24045,Louis-Saint-Laurent,Caron,G. Daniel,NDP-New Democratic Party,15.9
24045,Louis-Saint-Laurent,Deltell,Gerard,Conservative,50.5
24045,Louis-Saint-Laurent,Rousseau,Youri,Liberal,21.4
24045,Louis-Saint-Laurent,Savard,Michel,Green Party,1.9
24045,Louis-Saint-Laurent,Sirard,Ronald,Bloc Quebecois,10.3
24046,Manicouagan,Boudreau,Yvon,Conservative,10.3
24046,Manicouagan,Genest-Jourdain,Jonathan,NDP-New Democratic Party,17.5
24046,Manicouagan,Gill,Marilene,Bloc Quebecois,41.3
24046,Manicouagan,Grills,Nathan,Green Party,1.6
24046,Manicouagan,Tremblay,Mario,Liberal,29.4
24047,Megantic--L'erable,Berthiaume,David,Liberal,28.1
24047,Megantic--L'erable,Berthold,Luc,Conservative,35.4
24047,Megantic--L'erable,Delisle,Jean-Francois,NDP-New Democratic Party,22
24047,Megantic--L'erable,Gervais,Justin,Green Party,2.1
24047,Megantic--L'erable,Provost,Virginie,Bloc Quebecois,12.3
24048,Mirabel,Ferguson,Gordon,Conservative,10.1
24048,Mirabel,Freeman,Mylene,NDP-New Democratic Party,30.1
24048,Mirabel,Gifford,Jocelyn,Green Party,2.2
24048,Mirabel,Marcil,Simon,Bloc Quebecois,31.5
24048,Mirabel,Trudel,Karl,Liberal,26.1
24049,Montarville,Adam,Olivier,Green Party,2.4
24049,Montarville,Duranleau,Stephane,Conservative,10.9
24049,Montarville,Fournier,Catherine,Bloc Quebecois,28.4
24049,Montarville,Leclair,Claude,Libertarian,1.1
24049,Montarville,Picard,Michel,Liberal,32.5
24049,Montarville,Sellah,Djaouida,NDP-New Democratic Party,24.7
24050,Montcalm,Ang,Yumi Yow Mei,Green Party,1.8
24050,Montcalm,DesRoches,Gisele,Conservative,9.6
24050,Montcalm,Leclerc,Martin,NDP-New Democratic Party,23.5
24050,Montcalm,Perreault,Manon,Forces et Democratie - Allier les forces de nos regions,1.2
24050,Montcalm,Thouin,Louis-Charles,Liberal,27.3
24050,Montcalm,Theriault,Luc,Bloc Quebecois,36.6
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Breton,Chantal,Green Party,1.7
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Gagnon,Louis,Bloc Quebecois,16.1
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Gagne,Bien Gras,Rhinoceros,0.6
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Genereux,Bernard,Conservative,29
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Lapointe,Francois,NDP-New Democratic Party,24.2
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Normand,Marie-Josee,Liberal,28.4
24052,Mount Royal,Bosse Belanger,Jade,Bloc Quebecois,1.9
24052,Mount Royal,Housefather,Anthony,Liberal,50.3
24052,Mount Royal,Johnston,Diane,Marxist-Leninist,0.3
24052,Mount Royal,Landry,Timothy,Green Party,1.6
24052,Mount Royal,Libman,Robert,Conservative,37.9
24052,Mount Royal,Rimbao,Mario Jacinto,NDP-New Democratic Party,8.1
24053,Notre-Dame-de-Gr´è_ce--Westmount,Cahn,Lisa Julie,Independent,0.3
24053,Notre-Dame-de-Gr´è_ce--Westmount,Garneau,Marc,Liberal,57.7
24053,Notre-Dame-de-Gr´è_ce--Westmount,Hoffman,Rachel,Marxist-Leninist,0.4
24053,Notre-Dame-de-Gr´è_ce--Westmount,Hughes,James,NDP-New Democratic Party,21.8
24053,Notre-Dame-de-Gr´è_ce--Westmount,Quesnel,Simon,Bloc Quebecois,2.5
24053,Notre-Dame-de-Gr´è_ce--Westmount,Sagala,Richard,Conservative,14.4
24053,Notre-Dame-de-Gr´è_ce--Westmount,Wheeler,Melissa Kate,Green Party,3.1
24054,Outremont,Bendayan,Rachel,Liberal,33.5
24054,Outremont,Diallo,Amara,Green Party,3.6
24054,Outremont,Galland Barou,Roger,Bloc Quebecois,8.4
24054,Outremont,Husny,Rodolphe,Conservative,9.5
24054,Outremont,Mulcair,Tom,NDP-New Democratic Party,44.1
24054,Outremont,Pouliot,Francis,Libertarian,0.5
24054,Outremont,Welsh,Adrien,Communist,0.4
24055,Papineau,Bernardo,Beverly,No Affiliation,0.2
24055,Papineau,Claveau,Maxime,Bloc Quebecois,12.2
24055,Papineau,Gaudet,Tommy,Rhinoceros,0.6
24055,Papineau,Lagace Dowson,Anne,NDP-New Democratic Party,25.9
24055,Papineau,Lloyd,Chris,Independent,1
24055,Papineau,Macrisopoulos,Peter,Marxist-Leninist,0.3
24055,Papineau,Polifroni,Danny,Green Party,2.8
24055,Papineau,Trudeau,Justin,Liberal,52
24055,Papineau,Vadnais,Yvon,Conservative,4.7
24055,Papineau,Waldron,Kim,Independent,0.3
24056,Pierrefonds--Dollard,Assouline,Valerie,Conservative,20
24056,Pierrefonds--Dollard,Baylis,Frank,Liberal,58.7
24056,Pierrefonds--Dollard,Blanchette-Lamothe,Lysane,NDP-New Democratic Party,16.4
24056,Pierrefonds--Dollard,Laplante,Natalie,Bloc Quebecois,3.5
24056,Pierrefonds--Dollard,Weizfeld,Abraham,Green Party,1.5
24057,Pontiac,Amos,William,Liberal,54.5
24057,Pontiac,Griffiths,Colin,Green Party,1.7
24057,Pontiac,Lang,Louis,Marxist-Leninist,0.2
24057,Pontiac,Lepage,Nicolas,Bloc Quebecois,6.9
24057,Pontiac,Medieu,Pascal,Forces et Democratie - Allier les forces de nos regions,0.2
24057,Pontiac,Ravignat,Mathieu,NDP-New Democratic Party,22.5
24057,Pontiac,Woodman,Benjamin,Conservative,13.9
24058,Portneuf--Jacques-Cartier,Gauvin,David,Liberal,21.5
24058,Portneuf--Jacques-Cartier,Godin,Joel,Conservative,44
24058,Portneuf--Jacques-Cartier,Harvey,Raymond,Bloc Quebecois,10.7
24058,Portneuf--Jacques-Cartier,Michaud,elaine,NDP-New Democratic Party,22.1
24058,Portneuf--Jacques-Cartier,Morin,Johanne,Green Party,1.8
24059,Quebec,Asselin,Pierre-Thomas,Conservative,21.8
24059,Quebec,Duclos,Jean-Yves,Liberal,28.9
24059,Quebec,Fournier,Normand,Marxist-Leninist,0.3
24059,Quebec,Mordret,Charles,Bloc Quebecois,18.8
24059,Quebec,Papillon,Annick,NDP-New Democratic Party,27
24059,Quebec,Provost,Danielle,Forces et Democratie - Allier les forces de nos regions,0.2
24059,Quebec,Riboty,Philippe,Green Party,2.9
24060,Repentigny,Bellemare,Rejean,NDP-New Democratic Party,23.3
24060,Repentigny,Cloutier,Johnathan,Forces et Democratie - Allier les forces de nos regions,2
24060,Repentigny,Dudas,Adriana,Liberal,27.3
24060,Repentigny,Gilbert,Yoland,Green Party,1.9
24060,Repentigny,Lefebvre,Jonathan,Conservative,10.8
24060,Repentigny,Pauze,Monique,Bloc Quebecois,34.7
24061,Richmond--Arthabaska,Beaulieu,Myriam,NDP-New Democratic Party,24.2
24061,Richmond--Arthabaska,Busque,Laurier,Green Party,1.7
24061,Richmond--Arthabaska,Desmarais,Marc,Liberal,24.7
24061,Richmond--Arthabaska,Dubois,Antoine,Rhinoceros,0.7
24061,Richmond--Arthabaska,Nolin,Olivier,Bloc Quebecois,17.2
24061,Richmond--Arthabaska,Rayes,Alain,Conservative,31.6
24062,Riviere-des-Mille-iles,Gauthier,erick,Conservative,10.5
24062,Riviere-des-Mille-iles,Lapointe,Linda,Liberal,32.4
24062,Riviere-des-Mille-iles,Liu,Laurin,NDP-New Democratic Party,29.5
24062,Riviere-des-Mille-iles,Pinel,Felix,Bloc Quebecois,25.4
24062,Riviere-des-Mille-iles,Quinteros,Luis,Independent,0.3
24062,Riviere-des-Mille-iles,Ware,Alec,Green Party,2
24063,Riviere-du-Nord,Belair Rolland,Janice,Liberal,26.4
24063,Riviere-du-Nord,Cote,Fobozof A.,Rhinoceros,0.5
24063,Riviere-du-Nord,Dionne Labelle,Pierre,NDP-New Democratic Party,30.1
24063,Riviere-du-Nord,Fortin,Rheal,Bloc Quebecois,32
24063,Riviere-du-Nord,Leckman,Joey,Green Party,2.5
24063,Riviere-du-Nord,Vignol,Romain,Conservative,8.5
24064,Rosemont--La Petite-Patrie,Aglat,Laurent,Rhinoceros,0.8
24064,Rosemont--La Petite-Patrie,Andre,Claude,Bloc Quebecois,21.1
24064,Rosemont--La Petite-Patrie,Boulerice,Alexandre,NDP-New Democratic Party,49.2
24064,Rosemont--La Petite-Patrie,Chenier,Stephane,Marxist-Leninist,0.3
24064,Rosemont--La Petite-Patrie,Dohan,Jeremy,Conservative,4.3
24064,Rosemont--La Petite-Patrie,Medawar,Nadine,Liberal,20.7
24064,Rosemont--La Petite-Patrie,Muldeen,Sameer,Green Party,3.1
24064,Rosemont--La Petite-Patrie,d'Entremont,Peter,Libertarian,0.6
24065,Marc-Aurele-Fortin,Jasmin-Tremblay,Patrice,Bloc Quebecois,21.7
24065,Marc-Aurele-Fortin,Lemieux,Marie-Josee,NDP-New Democratic Party,23.5
24065,Marc-Aurele-Fortin,Makridis,Nicolas,Conservative,11.9
24065,Marc-Aurele-Fortin,Mungur,Lorna,Green Party,1.9
24065,Marc-Aurele-Fortin,Robillard,Yves,Liberal,40.9
24066,Saint-Hyacinthe--Bagot,Durand,Lise,Green Party,2.3
24066,Saint-Hyacinthe--Bagot,Filion,Michel,Bloc Quebecois,24.3
24066,Saint-Hyacinthe--Bagot,Leveille,Rejean,Conservative,16.7
24066,Saint-Hyacinthe--Bagot,Menard,Ugo,Independent,0.5
24066,Saint-Hyacinthe--Bagot,Sansoucy,Brigitte,NDP-New Democratic Party,28.7
24066,Saint-Hyacinthe--Bagot,Vincelette,Rene,Liberal,27.6
24067,Saint-Jean,Guinta,Stephane,Conservative,10.8
24067,Saint-Jean,Hurtubise,Denis,Bloc Quebecois,24.8
24067,Saint-Jean,Marotte,Hans,NDP-New Democratic Party,29.1
24067,Saint-Jean,Redivo,Marilyn,Green Party,2.1
24067,Saint-Jean,Rioux,Jean,Liberal,33.2
24068,Saint-Laurent,Ackad,Alain,NDP-New Democratic Party,11.5
24068,Saint-Laurent,Deschamps,Fernand,Marxist-Leninist,0.3
24068,Saint-Laurent,Dion,Stephane,Liberal,61.6
24068,Saint-Laurent,Dumas-Dubreuil,Pascal-Olivier,Bloc Quebecois,4.7
24068,Saint-Laurent,Tromp,John,Green Party,2.4
24068,Saint-Laurent,Yu,Jimmy,Conservative,19.5
24069,Saint-Leonard--Saint-Michel,Di Iorio,Nicola,Liberal,64.7
24069,Saint-Leonard--Saint-Michel,Filato,Rosannie,NDP-New Democratic Party,14.8
24069,Saint-Leonard--Saint-Michel,Fournier,Jean Philippe,Conservative,11.1
24069,Saint-Leonard--Saint-Michel,Gendron,Steeve,Bloc Quebecois,7.2
24069,Saint-Leonard--Saint-Michel,Malek,Arezki,Marxist-Leninist,0.3
24069,Saint-Leonard--Saint-Michel,Miscione,Melissa,Green Party,1.8
24070,Saint-Maurice--Champlain,Bedard,Jean-Paul,Marxist-Leninist,0.3
24070,Saint-Maurice--Champlain,Carignan Deschamps,Sacki,Bloc Quebecois,19.2
24070,Saint-Maurice--Champlain,Champagne,Francois-Philippe,Liberal,41.5
24070,Saint-Maurice--Champlain,Grenier,Jacques,Conservative,16.3
24070,Saint-Maurice--Champlain,Toupin,Martial,Green Party,1.9
24070,Saint-Maurice--Champlain,Tremblay,Jean-Yves,NDP-New Democratic Party,20.8
24071,Salaberry--Suroit,De Martin,Albert,Conservative,10
24071,Salaberry--Suroit,DeBellefeuille,Claude,Bloc Quebecois,28.4
24071,Salaberry--Suroit,Domingos,Patricia,Forces et Democratie - Allier les forces de nos regions,0.3
24071,Salaberry--Suroit,Larocque,Sylvain,Independent,0.4
24071,Salaberry--Suroit,Quach,Anne Minh-Thu,NDP-New Democratic Party,30.4
24071,Salaberry--Suroit,Sauve,Robert,Liberal,29.2
24071,Salaberry--Suroit,Socrates,Nicola-Silverado,Green Party,1.4
24072,Shefford,Beaudoin,Jocelyn,Bloc Quebecois,22.2
24072,Shefford,Breton,Pierre,Liberal,39
24072,Shefford,Fontaine,Sylvie,Conservative,12.8
24072,Shefford,Mailhot,Claire,NDP-New Democratic Party,23.7
24072,Shefford,McMillan,Simon,Green Party,2.4
24073,Sherbrooke,Allen,Thomas ''Tom'',Liberal,29.8
24073,Sherbrooke,Bouchard,Caroline,Bloc Quebecois,20.4
24073,Sherbrooke,Dauphin,Marc,Conservative,9.4
24073,Sherbrooke,Dusseault,Pierre-Luc,NDP-New Democratic Party,37.4
24073,Sherbrooke,Huberdeau,Benoit,Independent,0.5
24073,Sherbrooke,Malouin,Sophie,Green Party,2
24073,Sherbrooke,Richard,Hubert,Rhinoceros,0.5
24074,Vaudreuil--Soulanges,Boudreau,Marc,Conservative,13.8
24074,Vaudreuil--Soulanges,Francois,Vincent,Bloc Quebecois,15
24074,Vaudreuil--Soulanges,Kaszel,Jennifer,Green Party,2.2
24074,Vaudreuil--Soulanges,Nicholls,Jamie,NDP-New Democratic Party,22.3
24074,Vaudreuil--Soulanges,Schiefke,Peter,Liberal,46.6
24075,Terrebonne,Audette,Michele,Liberal,28
24075,Terrebonne,Borg,Charmaine,NDP-New Democratic Party,25.6
24075,Terrebonne,Boudrias,Michel,Bloc Quebecois,33
24075,Terrebonne,Moen,Susan,Green Party,1.7
24075,Terrebonne,Surprenant,Michel,Conservative,11.3
24075,Terrebonne,Senat,Louis Clement,Forces et Democratie - Allier les forces de nos regions,0.3
24076,Trois-Rivieres,Aubin,Robert,NDP-New Democratic Party,31.8
24076,Trois-Rivieres,Boivin,Yvon,Liberal,30.2
24076,Trois-Rivieres,Rousseau,Maxime,Libertarian,0.6
24076,Trois-Rivieres,Therrien,Dominic,Conservative,18.6
24076,Trois-Rivieres,Trottier,eric,Green Party,1.7
24076,Trois-Rivieres,Valois,Andre,Bloc Quebecois,17
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Green,Daniel,Green Party,4.8
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Miller,Marc,Liberal,50.8
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Shanahan,Steve,Conservative,11.9
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Sloan,William,Communist,0.2
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,St-Onge,Chantal,Bloc Quebecois,8.6
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Turner,Allison,NDP-New Democratic Party,23.4
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Wolfe,Daniel,Rhinoceros,0.3
24078,Vimy,Duhamel,France,NDP-New Democratic Party,21
24078,Vimy,Jenkins,Brian,Christian Heritage Party,0.5
24078,Vimy,Kaddouri,Barek,Bloc Quebecois,16.7
24078,Vimy,Mavros,Anthony,Conservative,13.4
24078,Vimy,Nassif,Eva,Liberal,46.2
24078,Vimy,Nunez Melo,Jose,Green Party,2.4
35001,Ajax,Alexander,Chris,Conservative,34.4
35001,Ajax,Brown,Stephanie,NDP-New Democratic Party,8.2
35001,Ajax,Hill,Jeff,Green Party,1.4
35001,Ajax,Holland,Mark,Liberal,55.9
35001,Ajax,Kesic,Bob,United Party,0.1
35002,Algoma--Manitoulin--Kapuskasing,Hughes,Carol,NDP-New Democratic Party,39.9
35002,Algoma--Manitoulin--Kapuskasing,Orok,Calvin John,Green Party,2.2
35002,Algoma--Manitoulin--Kapuskasing,Robichaud,Andre,Conservative,23.7
35002,Algoma--Manitoulin--Kapuskasing,Wilson,Heather,Liberal,34.1
35003,Aurora--Oak Ridges--Richmond Hill,Alleslev,Leona,Liberal,47.3
35003,Aurora--Oak Ridges--Richmond Hill,Bowles,Kyle,Animal Alliance/Environment Voters,0.5
35003,Aurora--Oak Ridges--Richmond Hill,Menegakis,Costas,Conservative,45.2
35003,Aurora--Oak Ridges--Richmond Hill,Power,Brenda,NDP-New Democratic Party,5.7
35003,Aurora--Oak Ridges--Richmond Hill,Ramdeen,Randi,Green Party,1.3
35004,Barrie--Innisfil,Brassard,John,Conservative,46.4
35004,Barrie--Innisfil,Clark,Myrna,NDP-New Democratic Party,11.8
35004,Barrie--Innisfil,Nail,Gary,Christian Heritage Party,0.4
35004,Barrie--Innisfil,North,Bonnie,Green Party,4
35004,Barrie--Innisfil,Sakula,Jeff,CAP,0.3
35004,Barrie--Innisfil,Wilson,Colin,Liberal,37.1
35005,Barrie--Springwater--Oro-Medonte,Faerber,Ram,Independent,0.4
35005,Barrie--Springwater--Oro-Medonte,Lancaster,Marty,Green Party,5.2
35005,Barrie--Springwater--Oro-Medonte,Nuttall,Alex,Conservative,41.8
35005,Barrie--Springwater--Oro-Medonte,Roskam,Darren,Libertarian,0.8
35005,Barrie--Springwater--Oro-Medonte,Tamblyn,Brian,Liberal,41.5
35005,Barrie--Springwater--Oro-Medonte,White,Ellen,NDP-New Democratic Party,10.3
35006,Bay of Quinte,Cassidy,Terry,NDP-New Democratic Party,12.1
35006,Bay of Quinte,Ellis,Neil,Liberal,50.7
35006,Bay of Quinte,Jenkins,Jodie,Conservative,34.3
35006,Bay of Quinte,Nelems,Rachel,Green Party,2.2
35006,Bay of Quinte,Tuck,Trueman,Independent,0.6
35007,Beaches--East York,Burrows,Bill,Conservative,16.4
35007,Beaches--East York,Carter,Roger,Marxist-Leninist,0.2
35007,Beaches--East York,Erskine-Smith,Nathaniel,Liberal,49.4
35007,Beaches--East York,Kellway,Matthew,NDP-New Democratic Party,30.8
35007,Beaches--East York,Sach,Randall,Green Party,2.6
35007,Beaches--East York,Sears,James,Independent,0.5
35007,Beaches--East York,Surjanac,Peter,Independent,0.1
35008,Brampton Centre,Bottcher,Saul Marquard T.,Green Party,2.1
35008,Brampton Centre,Chilelli,Frank,Marxist-Leninist,0.4
35008,Brampton Centre,Gosal,Bal,Conservative,33.7
35008,Brampton Centre,Keenan,Rosemary,NDP-New Democratic Party,15.1
35008,Brampton Centre,Sangha,Ramesh,Liberal,48.6
35009,Brampton East,Bajaj,Naval,Conservative,23.5
35009,Brampton East,Grewal,Raj,Liberal,52.3
35009,Brampton East,Kahlon,Harbaljit Singh,NDP-New Democratic Party,23
35009,Brampton East,Lacroix,Kyle,Green Party,1.1
35010,Brampton North,Gill,Parm,Conservative,33
35010,Brampton North,Hundal,Harinderpal,Communist,0.2
35010,Brampton North,Sahota,Ruby,Liberal,48.4
35010,Brampton North,Singh,Martin,NDP-New Democratic Party,16.5
35010,Brampton North,Thornham,Pauline,Green Party,1.9
35011,Brampton South,Hatton,Shaun,Green Party,2.2
35011,Brampton South,Sangha,Amarjit,NDP-New Democratic Party,10.7
35011,Brampton South,Seeback,Kyle,Conservative,35
35011,Brampton South,Sidhu,Sonia,Liberal,52.1
35012,Brampton West,Gobinath,Karthika,Green Party,1.6
35012,Brampton West,Khera,Kamal,Liberal,55.9
35012,Brampton West,Patterson,Adaoma,NDP-New Democratic Party,12.4
35012,Brampton West,Thind,Ninder,Conservative,30.1
35013,Brantford--Brant,Brandt,Kevin,Green Party,2.5
35013,Brantford--Brant,Ferguson,Rob,Libertarian,0.8
35013,Brantford--Brant,Laferriere,Marc,NDP-New Democratic Party,24.8
35013,Brantford--Brant,McColeman,Phil,Conservative,40.9
35013,Brantford--Brant,Takacs,Danielle,Liberal,30.7
35013,Brantford--Brant,Turmel,The Engineer,Independent,0.3
35014,Bruce--Grey--Owen Sound,Albinati,Chris,Green Party,3.3
35014,Bruce--Grey--Owen Sound,Love,Kimberley,Liberal,38.8
35014,Bruce--Grey--Owen Sound,McLaren,David,NDP-New Democratic Party,11.1
35014,Bruce--Grey--Owen Sound,Miller,Larry,Conservative,46.7
35015,Burlington,Fiorito,Vince,Green Party,2.4
35015,Burlington,Gould,Karina,Liberal,46
35015,Burlington,Laird,David,NDP-New Democratic Party,9.1
35015,Burlington,Wallace,Mike,Conservative,42.5
35016,Cambridge,Braniff,Michele,Green Party,3.2
35016,Cambridge,Couto,Manuel,Marxist-Leninist,0.2
35016,Cambridge,Goodyear,Gary,Conservative,38.6
35016,Cambridge,May,Bryan,Liberal,43.2
35016,Cambridge,Sperduti,Lee,Independent,0.9
35016,Cambridge,Stewart,Bobbi,NDP-New Democratic Party,13.9
35017,Chatham-Kent--Leamington,Omstead,Katie,Liberal,37.2
35017,Chatham-Kent--Leamington,Van Kesteren,Dave,Conservative,41.7
35017,Chatham-Kent--Leamington,Vercouteren,Mark,Green Party,2.7
35017,Chatham-Kent--Leamington,Walsh,Tony,NDP-New Democratic Party,18.4
35018,Davenport,Cash,Andrew,NDP-New Democratic Party,41.4
35018,Davenport,Dzerowicz,Julie,Liberal,44.3
35018,Davenport,Figueroa,Miguel,Communist,0.5
35018,Davenport,Kalevar,Chai,Independent,0.2
35018,Davenport,Oliveira,Carlos,Conservative,10.6
35018,Davenport,Stein,Dan,Green Party,3.1
35019,Don Valley East,Ahmed,Khalid,NDP-New Democratic Party,10.4
35019,Don Valley East,Harquail,Maureen,Conservative,29.2
35019,Don Valley East,Ratansi,Yasmin,Liberal,57.8
35019,Don Valley East,Sanderson,Laura Elizabeth,Green Party,2.6
35020,Don Valley North,Brown,Caroline,Green Party,2.2
35020,Don Valley North,Daniel,Joe,Conservative,37.8
35020,Don Valley North,Sadikali,Akil,NDP-New Democratic Party,8.5
35020,Don Valley North,Tan,Geng,Liberal,51.4
35021,Don Valley West,Carmichael,John,Conservative,37.6
35021,Don Valley West,Cromwell,Sharon,Independent,0.1
35021,Don Valley West,Hill,Elizabeth,Communist,0.2
35021,Don Valley West,Hunt,Natalie,Green Party,1.7
35021,Don Valley West,Kittredge,John,Libertarian,0.6
35021,Don Valley West,Oliphant,Rob,Liberal,53.8
35021,Don Valley West,Riaz,Syeda,NDP-New Democratic Party,6
35022,Dufferin--Caledon,Crewson,Ed,Liberal,39.1
35022,Dufferin--Caledon,Tilson,David Allan,Conservative,46.3
35022,Dufferin--Caledon,Urekar,Nancy,Green Party,7.3
35022,Dufferin--Caledon,Yazbek,Rehya,NDP-New Democratic Party,7.3
35023,Durham,Leadbetter,Stacey,Green Party,2.5
35023,Durham,Moriarity,Andrew,Christian Heritage Party,0.6
35023,Durham,O'Toole,Erin,Conservative,45.1
35023,Durham,Spence,Derek,NDP-New Democratic Party,16
35023,Durham,Traill,Corinna,Liberal,35.8
35024,Eglinton--Lawrence,Brunell Solomonovici,Rudy,Animal Alliance/Environment Voters,0.2
35024,Eglinton--Lawrence,Buchman,Ethan,Libertarian,0.6
35024,Eglinton--Lawrence,Chisholm,Matthew,Green Party,1.4
35024,Eglinton--Lawrence,Mendicino,Marco,Liberal,48.9
35024,Eglinton--Lawrence,Oliver,Joe,Conservative,42.6
35024,Eglinton--Lawrence,Thomson,Andrew,NDP-New Democratic Party,6.3
35025,Elgin--Middlesex--London,Baldwin-Sands,Lori,Liberal,31
35025,Elgin--Middlesex--London,Bernardi,Lou,Rhinoceros,0.3
35025,Elgin--Middlesex--London,Hopkins,Michael,Christian Heritage Party,0.9
35025,Elgin--Middlesex--London,Morgan,Bronagh Joyce,Green Party,3.1
35025,Elgin--Middlesex--London,Sinclair,Fred,NDP-New Democratic Party,15.4
35025,Elgin--Middlesex--London,Vecchio,Karen Louise,Conservative,49.2
35026,Essex,Alderson,Jennifer,Green Party,1.9
35026,Essex,Festeryga,Audrey,Liberal,20.9
35026,Essex,Ramsey,Tracey,NDP-New Democratic Party,41.4
35026,Essex,Villamizar,Enver,Marxist-Leninist,0.1
35026,Essex,Watson,Jeff,Conservative,35.7
35027,Etobicoke Centre,De Mello,Tanya,NDP-New Democratic Party,7.9
35027,Etobicoke Centre,Opitz,Ted,Conservative,37.3
35027,Etobicoke Centre,Rizvi,Shawn,Green Party,1.4
35027,Etobicoke Centre,Wolvin,Rob,PC Party,0.6
35027,Etobicoke Centre,Wrzesnewskyj,Borys,Liberal,52.8
35028,Etobicoke--Lakeshore,Maloney,James,Liberal,53.7
35028,Etobicoke--Lakeshore,Murray,Janice,Marxist-Leninist,0.3
35028,Etobicoke--Lakeshore,Salewsky,Angela,Green Party,2.3
35028,Etobicoke--Lakeshore,Trotter,Phil,NDP-New Democratic Party,10.9
35028,Etobicoke--Lakeshore,Trottier,Bernard,Conservative,32.4
35028,Etobicoke--Lakeshore,White,Liz,Animal Alliance/Environment Voters,0.4
35029,Etobicoke North,Ayub,Akhtar,Green Party,1.2
35029,Etobicoke North,Dada,Toyin,Conservative,23
35029,Etobicoke North,Di Carlo,Anna,Marxist-Leninist,0.6
35029,Etobicoke North,Duncan,Kirsty,Liberal,62.4
35029,Etobicoke North,Hassan,Faisal,NDP-New Democratic Party,12.4
35029,Etobicoke North,Szebik,George,No Affiliation,0.4
35030,Flamborough--Glanbrook,DiLivio,Mike,NDP-New Democratic Party,14
35030,Flamborough--Glanbrook,Stebbing,Jennifer,Liberal,39.1
35030,Flamborough--Glanbrook,Sweet,David,Conservative,43.5
35030,Flamborough--Glanbrook,Urquhart,David Allan,Green Party,3.4
35031,Glengarry--Prescott--Russell,Brisson,Jean-Serge,Libertarian,0.6
35031,Glengarry--Prescott--Russell,Drouin,Francis,Liberal,53.3
