Electoral district number,Electoral district name,Last name (2015),First name (2015),Political affiliation (2015),% Votes obtained (2015)
12008,Sackville--Preston--Chezzetcook,Stoffer,Peter,NDP-New Democratic Party,34.4
12008,Sackville--Preston--Chezzetcook,Strickland,Robert Thomas,Conservative,14.9
12009,South Shore--St. Margarets,Barry,Ryan,Communist,0.3
12009,South Shore--St. Margarets,Biggar,Richard,Green Party,2.9
12009,South Shore--St. Margarets,Bruhm,Trevor,Independent,0.5
12009,South Shore--St. Margarets,Clark,Richard,Conservative,22.6
12009,South Shore--St. Margarets,Godbold,Alex,NDP-New Democratic Party,16.8
12009,South Shore--St. Margarets,Jordan,Bernadette,Liberal,56.9
12010,Sydney--Victoria,Chiasson,John Douglas,Conservative,10.6
12010,Sydney--Victoria,Dutt,Monika,NDP-New Democratic Party,13.1
12010,Sydney--Victoria,Eyking,Mark,Liberal,73.2
12010,Sydney--Victoria,Hiscock,Wayne James,Libertarian,0.6
12010,Sydney--Victoria,MacKinnon,Adrianna,Green Party,2.5
12011,West Nova,Foster,Greg,NDP-New Democratic Party,6.8
12011,West Nova,Fraser,Colin,Liberal,63
12011,West Nova,LeBlanc,Arnold,Conservative,26.1
12011,West Nova,Walton,Clark,Green Party,4.2
13001,Acadie--Bathurst,Breau,Dominique,Green Party,2.3
13001,Acadie--Bathurst,Cormier,Serge,Liberal,50.7
13001,Acadie--Bathurst,Girouard-Riordon,Riba,Conservative,7.6
13001,Acadie--Bathurst,Godin,Jason,NDP-New Democratic Party,39.4
13002,Beausejour,Bastarache,Ann,Conservative,11.4
13002,Beausejour,Boudreau,Helene,NDP-New Democratic Party,15.1
13002,Beausejour,King,Kevin,Green Party,4.5
13002,Beausejour,LeBlanc,Dominic,Liberal,69
13003,Fredericton,Ashfield,Keith,Conservative,28.4
13003,Fredericton,Babineau,Mary Lou,Green Party,12.4
13003,Fredericton,DeCourcey,Matt,Liberal,49.3
13003,Fredericton,Scott-Levesque,Sharon,NDP-New Democratic Party,9.9
13004,Fundy Royal,Amos,David Raymond,Independent,0.6
13004,Fundy Royal,Coburn,Stephanie,Green Party,3.9
13004,Fundy Royal,Lockhart,Alaina,Liberal,40.9
13004,Fundy Royal,McKenzie,Jennifer,NDP-New Democratic Party,17.5
13004,Fundy Royal,Moore,Rob,Conservative,37.1
13005,Madawaska--Restigouche,Arseneault,Rene,Liberal,55.7
13005,Madawaska--Restigouche,Aubin,Francoise,Green Party,1.9
13005,Madawaska--Restigouche,L'Italien,Rosaire,NDP-New Democratic Party,25.9
13005,Madawaska--Restigouche,Valcourt,Bernard,Conservative,16.5
13006,Miramichi--Grand Lake,Clark,Matthew Ian,Green Party,3
13006,Miramichi--Grand Lake,Colford,Patrick,NDP-New Democratic Party,15.4
13006,Miramichi--Grand Lake,Finnigan,Pat,Liberal,47.3
13006,Miramichi--Grand Lake,O'Neill-Gordon,Tilly,Conservative,34.3
13007,Moncton--Riverview--Dieppe,Goguen,Robert,Conservative,21.5
13007,Moncton--Riverview--Dieppe,LeBlanc,Luc,NDP-New Democratic Party,16.2
13007,Moncton--Riverview--Dieppe,Melanson,Luc,Green Party,4.6
13007,Moncton--Riverview--Dieppe,Petitpas Taylor,Ginette,Liberal,57.8
13008,New Brunswick Southwest,Graham,Andrew,NDP-New Democratic Party,12.6
13008,New Brunswick Southwest,Ludwig,Karen,Liberal,43.9
13008,New Brunswick Southwest,MacIntosh,Gayla,Green Party,4.9
13008,New Brunswick Southwest,Williamson,John,Conservative,38.6
13009,Saint John--Rothesay,Griffin,AJ,NDP-New Democratic Party,17.5
13009,Saint John--Rothesay,Long,Wayne,Liberal,48.8
13009,Saint John--Rothesay,Murphy,Sharon,Green Party,3.1
13009,Saint John--Rothesay,Weston,Rodney,Conservative,30.5
13010,Tobique--Mactaquac,Bragdon,Richard,Conservative,37
13010,Tobique--Mactaquac,Harvey,TJ,Liberal,46.6
13010,Tobique--Mactaquac,Kitchen,Robert,NDP-New Democratic Party,11.3
13010,Tobique--Mactaquac,Wishart,Terry,Green Party,5.1
