Electoral district number,Electoral district name,Conservative % Votes Obtained (2015),Liberal % Votes Obtained (2015),NDP % Votes Obtained (2015),Bloc Quebecois % Votes Obtained (2015),Green Party % Votes Obtained (2015),Other % Votes Obtained (2015),Conservative % Votes Obtained (2011),Liberal % Votes Obtained (2011),NDP % Votes Obtained (2011),Bloc Quebecois % Votes Obtained (2011),Green Party % Votes Obtained (2011),Other % Votes Obtained (2011)
24017,Brossard--Saint-Lambert,12.6,50.3,24.6,10.6,1.9,0.0,12.8,32.8,36.8,15.9,1.5,0.0
24018,Rimouski-Neigette--Temiscouata--Les Basques,7.5,28,43.1,19.3,1.5,0.6,14.6,9.6,43.0,30.8,2.0,0.0
24019,Charlesbourg--Haute-Saint-Charles,42.2,23.2,20.1,12.3,2.2,0.0,30.3,6.5,45.0,16.3,1.6,0.0
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,33.5,26.9,18.4,19.1,1.7,0.4,23,5.3,38.2,31.7,1.7,0.1
24021,Chateauguay--Lacolle,11.2,39.1,23.1,24.4,1.9,0.3,12,10.2,48.7,26.9,1.9,0.2
24022,Chicoutimi--Le Fjord,16.6,31.1,29.7,20.5,2.1,0.0,25.6,5.8,37.7,28.8,1.5,0.0
24023,Compton--Stanstead,12.5,36.9,27.4,20.7,1.9,0.6,11.9,12.0,47.3,26.4,2.4,0.0
24024,Dorval--Lachine--LaSalle,11.1,54.9,21.6,9.8,2.3,0.4,14.2,29.4,41.1,11.5,3.0,0.8
24025,Drummond,17.7,26.5,30.5,22.8,2.4,0.0,15.9,8.4,51.6,22.0,2.1,0.0
24026,Gaspesie--Les iles-de-la-Madeleine,6.1,38.7,32.5,20.9,1,0.8,19.1,17.0,28.8,33.1,2.0,0.0
24027,Gatineau,8.2,53.8,26.6,9.4,1.6,0.5,8,13.8,62.1,14.9,1.1,0.0
24028,Hochelaga,6.9,29.9,30.9,27.7,3.2,1.4,7.2,11.7,47.5,30.8,1.7,1.2
24029,Honore-Mercier,12.1,56.5,16.4,12.9,1.6,0.5,13,33.5,35.2,16.0,1.6,0.7
24030,Hull--Aylmer,7.7,51.4,31.5,6.5,1.9,1,10,20.5,58.8,8.7,2.0,0.0
24031,Joliette,10.1,28.2,25.7,33.3,2.4,0.4,9.7,6.4,46.9,33.0,4.0,0.0
24032,Jonquiere,16.9,28.5,29.2,23.3,1.4,0.8,34.1,2.7,42.5,19.3,1.3,0.1
24033,La Pointe-de-l'ile,8,28.6,26.8,33.6,2,1,7.7,10.1,47.5,32.4,1.9,0.5
24034,La Prairie,11.9,36.5,22.9,26.2,2.1,0.4,9.4,13.2,50.0,25.7,1.5,0.2
24035,Lac-Saint-Jean,33.3,18.4,28.5,18.4,1.5,0.0,42.3,3.3,32.1,21.0,1.3,0.0
24036,Lac-Saint-Louis,17.4,64.1,12.8,2.7,2.9,0.0,28.4,34.1,30.1,3.1,4.3,0.0
