Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015)
35028,Etobicoke--Lakeshore,Marxist-Leninist,0.3
,,Animal Alliance/Environment Voters,0.4
35029,Etobicoke North,Marxist-Leninist,0.6
,,No Affiliation,0.4
35031,Glengarry--Prescott--Russell,Libertarian,0.6
35032,Guelph,Communist,0.2
,,Libertarian,0.7
,,Radical Marijuana,0.3
35033,Haldimand--Norfolk,Independent,0.3
,,Christian Heritage Party,1.6
,,Independent,0.5
35035,Hamilton Centre,Independent,0.5
,,Radical Marijuana,0.8
,,Libertarian,0.8
35036,Hamilton East--Stoney Creek,Marxist-Leninist,0.1
,,Communist,0.3
35037,Hamilton Mountain,Libertarian,1.5
,,Christian Heritage Party,0.9
35042,Kenora,Independent,0.5
35044,Kingston and the Islands,Libertarian,0.5
