Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015),% Votes obtained (2011)
13003,Fredericton,Green Party,12.4,4.1
13003,Fredericton,Liberal,49.3,24.0
13003,Fredericton,NDP-New Democratic Party,9.9,24.3
13004,Fundy Royal,Green Party,3.9,4.7
13004,Fundy Royal,Liberal,40.9,10.4
13004,Fundy Royal,NDP-New Democratic Party,17.5,26.9
13004,Fundy Royal,Conservative,37.1,57.9
13004,Fundy Royal,Other,0.6,0.0
13005,Madawaska--Restigouche,Liberal,55.7,34.8
13005,Madawaska--Restigouche,Green Party,1.9,1.8
13005,Madawaska--Restigouche,NDP-New Democratic Party,25.9,19.3
13005,Madawaska--Restigouche,Conservative,16.5,40.5
13006,Miramichi--Grand Lake,Green Party,3,2.5
13006,Miramichi--Grand Lake,NDP-New Democratic Party,15.4,22.9
13006,Miramichi--Grand Lake,Liberal,47.3,21.4
13006,Miramichi--Grand Lake,Conservative,34.3,53.2
13007,Moncton--Riverview--Dieppe,Conservative,21.5,36.8
13007,Moncton--Riverview--Dieppe,NDP-New Democratic Party,16.2,28.5
13007,Moncton--Riverview--Dieppe,Green Party,4.6,4.3
13007,Moncton--Riverview--Dieppe,Liberal,57.8,30.5
13008,New Brunswick Southwest,NDP-New Democratic Party,12.6,23.3
13008,New Brunswick Southwest,Liberal,43.9,13.6
13008,New Brunswick Southwest,Green Party,4.9,5.1
13008,New Brunswick Southwest,Conservative,38.6,56.7
13009,Saint John--Rothesay,NDP-New Democratic Party,17.5,30.7
13009,Saint John--Rothesay,Liberal,48.8,16.0
13009,Saint John--Rothesay,Green Party,3.1,2.8
13009,Saint John--Rothesay,Conservative,30.5,49.7
13010,Tobique--Mactaquac,Conservative,37,62.1
13010,Tobique--Mactaquac,Liberal,46.6,16.2
13010,Tobique--Mactaquac,NDP-New Democratic Party,11.3,19.1
13010,Tobique--Mactaquac,Green Party,5.1,2.5
24001,Abitibi--Baie-James--Nunavik--Eeyou,Green Party,2.3,3.9
24001,Abitibi--Baie-James--Nunavik--Eeyou,Liberal,32.1,10.5
24001,Abitibi--Baie-James--Nunavik--Eeyou,Bloc Quebecois,18.5,18.3
24001,Abitibi--Baie-James--Nunavik--Eeyou,Conservative,9.3,22.6
24001,Abitibi--Baie-James--Nunavik--Eeyou,NDP-New Democratic Party,37,44.8
24001,Abitibi--Baie-James--Nunavik--Eeyou,Other,0.7,0.0
24002,Abitibi--Temiscamingue,Green Party,1.7,1.4
24002,Abitibi--Temiscamingue,Conservative,6.9,9.9
24002,Abitibi--Temiscamingue,NDP-New Democratic Party,41.5,51.2
24002,Abitibi--Temiscamingue,Bloc Quebecois,19.4,31.5
24002,Abitibi--Temiscamingue,Liberal,29.6,5.9
24002,Abitibi--Temiscamingue,Other,0.9,0.0
24003,Ahuntsic-Cartierville,Bloc Quebecois,13.2,28.3
24003,Ahuntsic-Cartierville,Liberal,46.8,31.1
24003,Ahuntsic-Cartierville,Green Party,2.1,1.5
24003,Ahuntsic-Cartierville,Conservative,7.3,8.6
24003,Ahuntsic-Cartierville,NDP-New Democratic Party,30,29.9
24003,Ahuntsic-Cartierville,Other,0.5,0.6
24004,Alfred-Pellan,Green Party,2,1.5
24004,Alfred-Pellan,NDP-New Democratic Party,24,42.2
24004,Alfred-Pellan,Liberal,44.5,22.3
24004,Alfred-Pellan,Conservative,11.3,11.2
24004,Alfred-Pellan,Bloc Quebecois,17.8,22.4
24004,Alfred-Pellan,Other,0.4,0.5
24005,Argenteuil--La Petite-Nation,Bloc Quebecois,18.7,23.3
24005,Argenteuil--La Petite-Nation,NDP-New Democratic Party,24.8,45.0
24005,Argenteuil--La Petite-Nation,Conservative,11.1,14.7
24005,Argenteuil--La Petite-Nation,Green Party,2.2,2.6
24005,Argenteuil--La Petite-Nation,Liberal,43.3,13.7
24006,Avignon--La Mitis--Matane--Matapedia,NDP-New Democratic Party,20.2,26.6
24006,Avignon--La Mitis--Matane--Matapedia,Bloc Quebecois,21,34.5
24006,Avignon--La Mitis--Matane--Matapedia,Liberal,39.5,23.2
24006,Avignon--La Mitis--Matane--Matapedia,Conservative,6.1,13.2
24006,Avignon--La Mitis--Matane--Matapedia,Green Party,1,2.5
24006,Avignon--La Mitis--Matane--Matapedia,Other,12.1,0.0
24007,Beauce,Conservative,58.9,50.7
24007,Beauce,Green Party,1.7,1.6
24007,Beauce,NDP-New Democratic Party,9.7,30.0
24007,Beauce,Bloc Quebecois,7.4,6.7
24007,Beauce,Liberal,22.3,11.0
24008,Beauport--Limoilou,Bloc Quebecois,14.8,20.1
24008,Beauport--Limoilou,Liberal,25.4,6.4
24008,Beauport--Limoilou,Conservative,30.6,25.3
24008,Beauport--Limoilou,NDP-New Democratic Party,25.5,45.9
24008,Beauport--Limoilou,Green Party,2.4,1.9
24008,Beauport--Limoilou,Other,1.3,0.5
24009,Becancour--Nicolet--Saurel,Green Party,2.3,3.0
24009,Becancour--Nicolet--Saurel,Liberal,24.3,10.1
24009,Becancour--Nicolet--Saurel,Conservative,11.4,13
24009,Becancour--Nicolet--Saurel,Bloc Quebecois,40,38.3
24009,Becancour--Nicolet--Saurel,NDP-New Democratic Party,22.1,35.6
24010,Bellechasse--Les Etchemins--Levis,Conservative,50.9,43.9
24010,Bellechasse--Les Etchemins--Levis,Green Party,3.2,1.5
24010,Bellechasse--Les Etchemins--Levis,NDP-New Democratic Party,13.6,33.8
24010,Bellechasse--Les Etchemins--Levis,Bloc Quebecois,11.5,14.9
24010,Bellechasse--Les Etchemins--Levis,Liberal,20.7,5.8
24011,Beloeil--Chambly,Conservative,9.3,7.9
24011,Beloeil--Chambly,Liberal,29.3,9.0
24011,Beloeil--Chambly,NDP-New Democratic Party,31.1,42.6
24011,Beloeil--Chambly,Bloc Quebecois,27.7,27.4
24011,Beloeil--Chambly,Green Party,2.3,1.6
24011,Beloeil--Chambly,Other,0.4,11.5
24012,Berthier--Maskinonge,NDP-New Democratic Party,42.2,41.2
24012,Berthier--Maskinonge,Green Party,1.6,2.3
24012,Berthier--Maskinonge,Liberal,20.3,12.1
24012,Berthier--Maskinonge,Conservative,10.2,12.7
24012,Berthier--Maskinonge,Bloc Quebecois,25.8,31.0
24013,Therese-De Blainville,Liberal,32.5,10.3
24013,Therese-De Blainville,Green Party,2.4,2.1
24013,Therese-De Blainville,NDP-New Democratic Party,24.9,50.0
24013,Therese-De Blainville,Bloc Quebecois,27.1,27.8
24013,Therese-De Blainville,Conservative,12.4,9.8
24013,Therese-De Blainville,Other,0.6,0.0
24014,Pierre-Boucher--Les Patriotes--Vercheres,Bloc Quebecois,28.6,34.2
24014,Pierre-Boucher--Les Patriotes--Vercheres,NDP-New Democratic Party,24.3,44.8
24014,Pierre-Boucher--Les Patriotes--Vercheres,Liberal,28.3,9.9
24014,Pierre-Boucher--Les Patriotes--Vercheres,Green Party,8.5,2.1
24014,Pierre-Boucher--Les Patriotes--Vercheres,Conservative,10.2,8.4
24015,Bourassa,Green Party,2.2,1.6
24015,Bourassa,Liberal,54.1,38.5
24015,Bourassa,NDP-New Democratic Party,14.9,32.4
24015,Bourassa,Bloc Quebecois,17.1,19.0
24015,Bourassa,Conservative,9.3,8.2
24015,Bourassa,Other,2.4,0.4
24016,Brome--Missisquoi,NDP-New Democratic Party,24.5,42.6
24016,Brome--Missisquoi,Bloc Quebecois,17.5,21.3
24016,Brome--Missisquoi,Green Party,2.3,2.1
24016,Brome--Missisquoi,Liberal,43.9,22.1
24016,Brome--Missisquoi,Conservative,11.5,11.9
24016,Brome--Missisquoi,Other,0.3,0.0
24017,Brossard--Saint-Lambert,Conservative,12.6,12.8
24017,Brossard--Saint-Lambert,Green Party,1.9,1.5
24017,Brossard--Saint-Lambert,Bloc Quebecois,10.6,15.9
24017,Brossard--Saint-Lambert,NDP-New Democratic Party,24.6,36.8
24017,Brossard--Saint-Lambert,Liberal,50.3,32.8
24018,Rimouski-Neigette--Temiscouata--Les Basques,Green Party,1.5,2.0
24018,Rimouski-Neigette--Temiscouata--Les Basques,Liberal,28,9.6
24018,Rimouski-Neigette--Temiscouata--Les Basques,Bloc Quebecois,19.3,30.8
24018,Rimouski-Neigette--Temiscouata--Les Basques,NDP-New Democratic Party,43.1,43.0
24018,Rimouski-Neigette--Temiscouata--Les Basques,Conservative,7.5,14.6
24018,Rimouski-Neigette--Temiscouata--Les Basques,Other,0.6,0.0
24019,Charlesbourg--Haute-Saint-Charles,Green Party,2.2,1.6
24019,Charlesbourg--Haute-Saint-Charles,Liberal,23.2,6.5
24019,Charlesbourg--Haute-Saint-Charles,NDP-New Democratic Party,20.1,45.0
24019,Charlesbourg--Haute-Saint-Charles,Conservative,42.2,30.3
24019,Charlesbourg--Haute-Saint-Charles,Bloc Quebecois,12.3,16.3
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Conservative,33.5,23
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Bloc Quebecois,19.1,31.7
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Green Party,1.7,1.7
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,NDP-New Democratic Party,18.4,38.2
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Liberal,26.9,5.3
24020,Beauport-Cote-de-Beaupre-ile d'Orleans-Charlevoix,Other,0.4,0.1
24021,Chateauguay--Lacolle,NDP-New Democratic Party,23.1,48.7
24021,Chateauguay--Lacolle,Green Party,1.9,1.9
24021,Chateauguay--Lacolle,Liberal,39.1,10.2
24021,Chateauguay--Lacolle,Conservative,11.2,12
24021,Chateauguay--Lacolle,Bloc Quebecois,24.4,26.9
24021,Chateauguay--Lacolle,Other,0.3,0.2
24022,Chicoutimi--Le Fjord,Bloc Quebecois,20.5,28.8
24022,Chicoutimi--Le Fjord,Liberal,31.1,5.8
24022,Chicoutimi--Le Fjord,NDP-New Democratic Party,29.7,37.7
24022,Chicoutimi--Le Fjord,Green Party,2.1,1.5
24022,Chicoutimi--Le Fjord,Conservative,16.6,25.6
24023,Compton--Stanstead,Liberal,36.9,12.0
24023,Compton--Stanstead,Bloc Quebecois,20.7,26.4
24023,Compton--Stanstead,Conservative,12.5,11.9
24023,Compton--Stanstead,Green Party,1.9,2.4
24023,Compton--Stanstead,NDP-New Democratic Party,27.4,47.3
24023,Compton--Stanstead,Other,0.6,0.0
24024,Dorval--Lachine--LaSalle,Conservative,11.1,14.2
24024,Dorval--Lachine--LaSalle,Liberal,54.9,29.4
24024,Dorval--Lachine--LaSalle,Green Party,2.3,3.0
24024,Dorval--Lachine--LaSalle,NDP-New Democratic Party,21.6,41.1
24024,Dorval--Lachine--LaSalle,Bloc Quebecois,9.8,11.5
24024,Dorval--Lachine--LaSalle,Other,0.4,0.8
24025,Drummond,Bloc Quebecois,22.8,22.0
24025,Drummond,NDP-New Democratic Party,30.5,51.6
24025,Drummond,Green Party,2.4,2.1
24025,Drummond,Liberal,26.5,8.4
24025,Drummond,Conservative,17.7,15.9
24026,Gaspesie--Les iles-de-la-Madeleine,Liberal,38.7,17.0
24026,Gaspesie--Les iles-de-la-Madeleine,Green Party,1,2.0
24026,Gaspesie--Les iles-de-la-Madeleine,Conservative,6.1,19.1
24026,Gaspesie--Les iles-de-la-Madeleine,Bloc Quebecois,20.9,33.1
24026,Gaspesie--Les iles-de-la-Madeleine,NDP-New Democratic Party,32.5,28.8
24026,Gaspesie--Les iles-de-la-Madeleine,Other,0.8,0.0
24027,Gatineau,Conservative,8.2,8
24027,Gatineau,Bloc Quebecois,9.4,14.9
24027,Gatineau,NDP-New Democratic Party,26.6,62.1
24027,Gatineau,Green Party,1.6,1.1
24027,Gatineau,Liberal,53.8,13.8
24027,Gatineau,Other,0.5,0.0
24028,Hochelaga,NDP-New Democratic Party,30.9,47.5
24028,Hochelaga,Conservative,6.9,7.2
24028,Hochelaga,Bloc Quebecois,27.7,30.8
24028,Hochelaga,Liberal,29.9,11.7
