"'"
"2003 Representation Order Federal Electroral District(FED) to 2013 Representation Order Federal Electroral District*"

"Province or territory","New FED number- 2013","New FED name- 2013","Old FED number- 2003","Old FED name- 2003"
"Quebec",24005,"Argenteuil--La Petite-Nation",24004,"Argenteuil - Papineau - Mirabel"
"Quebec",24005,"Argenteuil--La Petite-Nation",24050,"Pontiac"
"Quebec",24006,"Avignon--La Mitis--Matane--Matapédia",24019,"Gaspésie - Îles-de-la-Madeleine"
"Quebec",24006,"Avignon--La Mitis--Matane--Matapédia",24041,"Haute-Gaspésie - La Mitis - Matane - Matapédia"
"Quebec",24007,"Beauce",24005,"Beauce"
"Quebec",24008,"Beauport--Limoilou",24007,"Beauport - Limoilou"
"Quebec",24008,"Beauport--Limoilou",24014,"Montmorency - Charlevoix - Haute-Côte-Nord"
"Quebec",24009,"Bécancour--Nicolet--Saurel",24054,"Bas-Richelieu - Nicolet - Bécancour"
"Quebec",24010,"Bellechasse--Les Etchemins--Lévis",24034,"Lévis - Bellechasse"
"Quebec",24011,"Beloeil--Chambly",24012,"Chambly - Borduas"
"Quebec",24012,"Berthier--Maskinongé",24008,"Berthier - Maskinongé"
"Quebec",24012,"Berthier--Maskinongé",24025,"Joliette"
"Quebec",24013,"Thérèse-De Blainville",24040,"Marc-Aurèle-Fortin"
"Quebec",24013,"Thérèse-De Blainville",24071,"Terrebonne - Blainville"
"Quebec",24014,"Pierre-Boucher--Les Patriotes--Verchères",24012,"Chambly - Borduas"
"Quebec",24014,"Pierre-Boucher--Les Patriotes--Verchères",24035,"Longueuil - Pierre-Boucher"
"Quebec",24014,"Pierre-Boucher--Les Patriotes--Verchères",24074,"Verchères - Les Patriotes"
"Quebec",24015,"Bourassa",24002,"Ahuntsic"
"Quebec",24015,"Bourassa",24009,"Bourassa"
"Quebec",24015,"Bourassa",24022,"Honoré-Mercier"
"Quebec",24016,"Brome--Missisquoi",24010,"Brome - Missisquoi"
"Quebec",24017,"Brossard--Saint-Lambert",24011,"Brossard - La Prairie"
"Quebec",24017,"Brossard--Saint-Lambert",24065,"Saint-Lambert"
"Quebec",24018,"Rimouski-Neigette--Témiscouata--Les Basques",24056,"Rimouski-Neigette - Témiscouata - Les Basques"
"Quebec",24019,"Charlesbourg--Haute-Saint-Charles",24013,"Charlesbourg - Haute-Saint-Charles"
"Quebec",24019,"Charlesbourg--Haute-Saint-Charles",24038,"Louis-Saint-Laurent"
"Quebec",24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix",24007,"Beauport - Limoilou"
"Quebec",24020,"Beauport-Côte-de-Beaupré-Île d'Orléans-Charlevoix",24014,"Montmorency - Charlevoix - Haute-Côte-Nord"
"Quebec",24021,"Châteauguay--Lacolle",24006,"Beauharnois - Salaberry"
"Quebec",24021,"Châteauguay--Lacolle",24015,"Châteauguay - Saint-Constant"
"Quebec",24022,"Chicoutimi--Le Fjord",24016,"Chicoutimi - Le Fjord"
"Quebec",24023,"Compton--Stanstead",24017,"Compton - Stanstead"
"Quebec",24023,"Compton--Stanstead",24070,"Sherbrooke"
"Quebec",24024,"Dorval--Lachine--LaSalle",24029,"LaSalle - Émard"
"Quebec",24024,"Dorval--Lachine--LaSalle",24045,"Notre-Dame-de-Grâce - Lachine"
"Quebec",24025,"Drummond",24018,"Drummond"
"Quebec",24026,"Gaspésie--Les Îles-de-la-Madeleine",24019,"Gaspésie - Îles-de-la-Madeleine"
"Quebec",24026,"Gaspésie--Les Îles-de-la-Madeleine",24041,"Haute-Gaspésie - La Mitis - Matane - Matapédia"
"Quebec",24027,"Gatineau",24020,"Gatineau"
"Quebec",24028,"Hochelaga",24021,"Hochelaga"
"Quebec",24028,"Hochelaga",24022,"Honoré-Mercier"
"Quebec",24028,"Hochelaga",24028,"La Pointe-de-l'Île"
"Quebec",24029,"Honoré-Mercier",24009,"Bourassa"
"Quebec",24029,"Honoré-Mercier",24022,"Honoré-Mercier"
"Quebec",24030,"Hull--Aylmer",24023,"Hull - Aylmer"
"Quebec",24031,"Joliette",24025,"Joliette"
"Quebec",24032,"Jonquière",24016,"Chicoutimi - Le Fjord"
"Quebec",24032,"Jonquière",24026,"Jonquière - Alma"
"Quebec",24032,"Jonquière",24060,"Roberval - Lac-Saint-Jean"
"Quebec",24033,"La Pointe-de-l'Île",24022,"Honoré-Mercier"
