Electoral district number,Electoral district name,Political affiliation (2011),% Votes obtained (2011)
48009,Calgary Nose Hill,Liberal ,11.0
48009,Calgary Nose Hill,Bloc Quebecois ,0.0
48009,Calgary Nose Hill,Green Party ,6.7
48009,Calgary Nose Hill,Other ,0.1
48010,Calgary Rocky Ridge,Conservative ,68.5
48010,Calgary Rocky Ridge,NDP-New Democratic Party ,11.5
48010,Calgary Rocky Ridge,Liberal ,12.6
48010,Calgary Rocky Ridge,Bloc Quebecois ,0.0
48010,Calgary Rocky Ridge,Green Party ,7.2
48010,Calgary Rocky Ridge,Other ,0.1
48011,Calgary Shepard,Conservative ,75.5
48011,Calgary Shepard,NDP-New Democratic Party ,11.1
48011,Calgary Shepard,Liberal ,7.2
48011,Calgary Shepard,Bloc Quebecois ,0.0
48011,Calgary Shepard,Green Party ,5.6
48011,Calgary Shepard,Other ,0.6
48012,Calgary Signal Hill,Conservative ,64.9
48012,Calgary Signal Hill,NDP-New Democratic Party ,10.6
48012,Calgary Signal Hill,Liberal ,15.4
48012,Calgary Signal Hill,Bloc Quebecois ,0.0
48012,Calgary Signal Hill,Green Party ,8.8
48012,Calgary Signal Hill,Other ,0.3
48013,Calgary Skyview,Conservative ,56.3
48013,Calgary Skyview,NDP-New Democratic Party ,10.0
48013,Calgary Skyview,Liberal ,28.6
48013,Calgary Skyview,Bloc Quebecois ,0.0
48013,Calgary Skyview,Green Party ,4.6
48013,Calgary Skyview,Other ,0.4
35016,Cambridge,Conservative ,52.7
35016,Cambridge,NDP-New Democratic Party ,27.9
35016,Cambridge,Liberal ,15.4
35016,Cambridge,Bloc Quebecois ,0.0
35016,Cambridge,Green Party ,3.6
35016,Cambridge,Other ,0.3
12001,Cape Breton--Canso,Conservative ,32.6
12001,Cape Breton--Canso,NDP-New Democratic Party ,20.0
12001,Cape Breton--Canso,Liberal ,44.1
12001,Cape Breton--Canso,Bloc Quebecois ,0.0
12001,Cape Breton--Canso,Green Party ,3.2
12001,Cape Breton--Canso,Other ,0.0
11001,Cardigan,Conservative ,38.4
11001,Cardigan,NDP-New Democratic Party ,10.2
11001,Cardigan,Liberal ,49.6
11001,Cardigan,Bloc Quebecois ,0.0
11001,Cardigan,Green Party ,1.8
11001,Cardigan,Other ,0.0
59004,Cariboo--Prince George,Conservative ,56.3
59004,Cariboo--Prince George,NDP-New Democratic Party ,30.1
59004,Cariboo--Prince George,Liberal ,5.1
59004,Cariboo--Prince George,Bloc Quebecois ,0.0
59004,Cariboo--Prince George,Green Party ,6.2
59004,Cariboo--Prince George,Other ,2.4
35088,Carleton,Conservative ,61.7
35088,Carleton,NDP-New Democratic Party ,13.3
35088,Carleton,Liberal ,20.9
35088,Carleton,Bloc Quebecois ,0.0
35088,Carleton,Green Party ,4.1
35088,Carleton,Other ,0.0
47004,Carlton Trail--Eagle Creek,Conservative ,68.4
47004,Carlton Trail--Eagle Creek,NDP-New Democratic Party ,24.4
47004,Carlton Trail--Eagle Creek,Liberal ,3.9
47004,Carlton Trail--Eagle Creek,Bloc Quebecois ,0.0
47004,Carlton Trail--Eagle Creek,Green Party ,2.6
47004,Carlton Trail--Eagle Creek,Other ,0.7
12002,Central Nova,Conservative ,55.3
12002,Central Nova,NDP-New Democratic Party ,26.8
12002,Central Nova,Liberal ,14.0
12002,Central Nova,Bloc Quebecois ,0.0
12002,Central Nova,Green Party ,3.8
12002,Central Nova,Other ,0.1
59005,Central Okanagan--Similkameen--Nicola,Conservative ,54.6
59005,Central Okanagan--Similkameen--Nicola,NDP-New Democratic Party ,26.0
59005,Central Okanagan--Similkameen--Nicola,Liberal ,10.1
59005,Central Okanagan--Similkameen--Nicola,Bloc Quebecois ,0.0
59005,Central Okanagan--Similkameen--Nicola,Green Party ,7.8
59005,Central Okanagan--Similkameen--Nicola,Other ,1.5
24019,Charlesbourg--Haute-Saint-Charles,Conservative ,30.3
24019,Charlesbourg--Haute-Saint-Charles,NDP-New Democratic Party ,45.0
24019,Charlesbourg--Haute-Saint-Charles,Liberal ,6.5
24019,Charlesbourg--Haute-Saint-Charles,Bloc Quebecois ,16.3
24019,Charlesbourg--Haute-Saint-Charles,Green Party ,1.6
24019,Charlesbourg--Haute-Saint-Charles,Other ,0.4
46002,Charleswood--St. James--Assiniboia--Headingley,Conservative ,57.6
46002,Charleswood--St. James--Assiniboia--Headingley,NDP-New Democratic Party ,20.1
46002,Charleswood--St. James--Assiniboia--Headingley,Liberal ,18.4
46002,Charleswood--St. James--Assiniboia--Headingley,Bloc Quebecois ,0.0
46002,Charleswood--St. James--Assiniboia--Headingley,Green Party ,3.9
46002,Charleswood--St. James--Assiniboia--Headingley,Other ,0.0
11002,Charlottetown,Conservative ,32.7
11002,Charlottetown,NDP-New Democratic Party ,25.1
11002,Charlottetown,Liberal ,39.5
11002,Charlottetown,Bloc Quebecois ,0.0
11002,Charlottetown,Green Party ,2.3
11002,Charlottetown,Other ,0.5
35017,Chatham-Kent--Leamington,Conservative ,53.2
35017,Chatham-Kent--Leamington,NDP-New Democratic Party ,27.2
35017,Chatham-Kent--Leamington,Liberal ,16.3
35017,Chatham-Kent--Leamington,Bloc Quebecois ,0.0
35017,Chatham-Kent--Leamington,Green Party ,3.3
35017,Chatham-Kent--Leamington,Other ,0.0
24022,Chicoutimi--Le Fjord,Conservative ,25.6
24022,Chicoutimi--Le Fjord,NDP-New Democratic Party ,37.7
24022,Chicoutimi--Le Fjord,Liberal ,5.8
24022,Chicoutimi--Le Fjord,Bloc Quebecois ,28.8
24022,Chicoutimi--Le Fjord,Green Party ,1.5
24022,Chicoutimi--Le Fjord,Other ,0.7
59006,Chilliwack--Hope,Conservative ,59.6
59006,Chilliwack--Hope,NDP-New Democratic Party ,23.5
59006,Chilliwack--Hope,Liberal ,11.2
59006,Chilliwack--Hope,Bloc Quebecois ,0.0
59006,Chilliwack--Hope,Green Party ,5.0
59006,Chilliwack--Hope,Other ,0.7
46003,Churchill--Keewatinook Aski,Conservative ,26.1
46003,Churchill--Keewatinook Aski,NDP-New Democratic Party ,51.7
46003,Churchill--Keewatinook Aski,Liberal ,19.9
46003,Churchill--Keewatinook Aski,Bloc Quebecois ,0.0
46003,Churchill--Keewatinook Aski,Green Party ,2.3
46003,Churchill--Keewatinook Aski,Other ,0.0
24021,Ch•À_teauguay--Lacolle,Conservative ,12.0
24021,Ch•À_teauguay--Lacolle,NDP-New Democratic Party ,48.7
24021,Ch•À_teauguay--Lacolle,Liberal ,10.2
24021,Ch•À_teauguay--Lacolle,Bloc Quebecois ,26.9
24021,Ch•À_teauguay--Lacolle,Green Party ,1.9
24021,Ch•À_teauguay--Lacolle,Other ,0.2
59007,Cloverdale--Langley City,Conservative ,57.4
59007,Cloverdale--Langley City,NDP-New Democratic Party ,24.7
59007,Cloverdale--Langley City,Liberal ,11.8
59007,Cloverdale--Langley City,Bloc Quebecois ,0.0
59007,Cloverdale--Langley City,Green Party ,4.6
59007,Cloverdale--Langley City,Other ,1.5
10003,Coast of Bays--Central--Notre Dame,Conservative ,30.3
10003,Coast of Bays--Central--Notre Dame,NDP-New Democratic Party ,13.6
10003,Coast of Bays--Central--Notre Dame,Liberal ,54.9
10003,Coast of Bays--Central--Notre Dame,Bloc Quebecois ,0.0
10003,Coast of Bays--Central--Notre Dame,Green Party ,0.9
10003,Coast of Bays--Central--Notre Dame,Other ,0.3
24023,Compton--Stanstead,Conservative ,11.9
24023,Compton--Stanstead,NDP-New Democratic Party ,47.3
24023,Compton--Stanstead,Liberal ,12.0
24023,Compton--Stanstead,Bloc Quebecois ,26.4
24023,Compton--Stanstead,Green Party ,2.4
24023,Compton--Stanstead,Other ,0.0
59008,Coquitlam--Port Coquitlam,Conservative ,55.5
59008,Coquitlam--Port Coquitlam,NDP-New Democratic Party ,31.0
59008,Coquitlam--Port Coquitlam,Liberal ,8.3
59008,Coquitlam--Port Coquitlam,Bloc Quebecois ,0.0
59008,Coquitlam--Port Coquitlam,Green Party ,4.3
59008,Coquitlam--Port Coquitlam,Other ,0.9
59009,Courtenay--Alberni,Conservative ,44.9
59009,Courtenay--Alberni,NDP-New Democratic Party ,40.7
59009,Courtenay--Alberni,Liberal ,6.7
59009,Courtenay--Alberni,Bloc Quebecois ,0.0
59009,Courtenay--Alberni,Green Party ,6.8
59009,Courtenay--Alberni,Other ,0.8
59010,Cowichan--Malahat--Langford,Conservative ,43.1
59010,Cowichan--Malahat--Langford,NDP-New Democratic Party ,43.6
59010,Cowichan--Malahat--Langford,Liberal ,5.8
59010,Cowichan--Malahat--Langford,Bloc Quebecois ,0.0
59010,Cowichan--Malahat--Langford,Green Party ,7.2
59010,Cowichan--Malahat--Langford,Other ,0.3
12003,Cumberland--Colchester,Conservative ,52.9
12003,Cumberland--Colchester,NDP-New Democratic Party ,22.5
12003,Cumberland--Colchester,Liberal ,18.4
12003,Cumberland--Colchester,Bloc Quebecois ,0.0
12003,Cumberland--Colchester,Green Party ,5.4
12003,Cumberland--Colchester,Other ,0.8
47002,Cypress Hills--Grasslands,Conservative ,70.6
47002,Cypress Hills--Grasslands,NDP-New Democratic Party ,20.8
47002,Cypress Hills--Grasslands,Liberal ,5.8
47002,Cypress Hills--Grasslands,Bloc Quebecois ,0.0
47002,Cypress Hills--Grasslands,Green Party ,2.8
47002,Cypress Hills--Grasslands,Other ,0.0
12004,Dartmouth--Cole Harbour,Conservative ,25.0
12004,Dartmouth--Cole Harbour,NDP-New Democratic Party ,36.4
12004,Dartmouth--Cole Harbour,Liberal ,34.7
12004,Dartmouth--Cole Harbour,Bloc Quebecois ,0.0
12004,Dartmouth--Cole Harbour,Green Party ,3.8
12004,Dartmouth--Cole Harbour,Other ,0.0
46004,Dauphin--Swan River--Neepawa,Conservative ,64.5
46004,Dauphin--Swan River--Neepawa,NDP-New Democratic Party ,24.8
46004,Dauphin--Swan River--Neepawa,Liberal ,6.3
46004,Dauphin--Swan River--Neepawa,Bloc Quebecois ,0.0
46004,Dauphin--Swan River--Neepawa,Green Party ,4.3
46004,Dauphin--Swan River--Neepawa,Other ,0.1
35018,Davenport,Conservative ,14.2
35018,Davenport,NDP-New Democratic Party ,53.7
35018,Davenport,Liberal ,27.9
35018,Davenport,Bloc Quebecois ,0.0
35018,Davenport,Green Party ,3.4
35018,Davenport,Other ,0.8
59011,Delta,Conservative ,48.0
59011,Delta,NDP-New Democratic Party ,28.1
59011,Delta,Liberal ,18.6
59011,Delta,Bloc Quebecois ,0.0
59011,Delta,Green Party ,4.7
59011,Delta,Other ,0.7
47003,Desnethe--Missinippi--Churchill River,Conservative ,46.9
47003,Desnethe--Missinippi--Churchill River,NDP-New Democratic Party ,45.4
47003,Desnethe--Missinippi--Churchill River,Liberal ,5.3
47003,Desnethe--Missinippi--Churchill River,Bloc Quebecois ,0.0
47003,Desnethe--Missinippi--Churchill River,Green Party ,2.5
47003,Desnethe--Missinippi--Churchill River,Other ,0.0
35019,Don Valley East,Conservative ,36.4
35019,Don Valley East,NDP-New Democratic Party ,21.9
35019,Don Valley East,Liberal ,38.4
35019,Don Valley East,Bloc Quebecois ,0.0
35019,Don Valley East,Green Party ,2.8
35019,Don Valley East,Other ,0.5
35020,Don Valley North,Conservative ,40.3
35020,Don Valley North,NDP-New Democratic Party ,20.7
35020,Don Valley North,Liberal ,37.3
35020,Don Valley North,Bloc Quebecois ,0.0
35020,Don Valley North,Green Party ,1.3
35020,Don Valley North,Other ,0.4
35021,Don Valley West,Conservative ,43.9
35021,Don Valley West,NDP-New Democratic Party ,10.7
35021,Don Valley West,Liberal ,41.5
35021,Don Valley West,Bloc Quebecois ,0.0
35021,Don Valley West,Green Party ,3.6
35021,Don Valley West,Other ,0.3
24024,Dorval--Lachine--LaSalle,Conservative ,14.2
24024,Dorval--Lachine--LaSalle,NDP-New Democratic Party ,41.1
24024,Dorval--Lachine--LaSalle,Liberal ,29.4
24024,Dorval--Lachine--LaSalle,Bloc Quebecois ,11.5
24024,Dorval--Lachine--LaSalle,Green Party ,3.0
24024,Dorval--Lachine--LaSalle,Other ,0.8
24025,Drummond,Conservative ,15.9
24025,Drummond,NDP-New Democratic Party ,51.6
24025,Drummond,Liberal ,8.4
24025,Drummond,Bloc Quebecois ,22.0
24025,Drummond,Green Party ,2.1
24025,Drummond,Other ,0.0
35022,Dufferin--Caledon,Conservative ,59.0
35022,Dufferin--Caledon,NDP-New Democratic Party ,13.2
35022,Dufferin--Caledon,Liberal ,13.1
35022,Dufferin--Caledon,Bloc Quebecois ,0.0
35022,Dufferin--Caledon,Green Party ,14.7
