"DATE","TITLE","ACTIVITY"
"Jan 31, 2016 01:58","Candidates' Summary","FORTY-SECOND GENERAL ELECTION (October 19, 2015)"

SUMMARY_DATA
"Client_id","Name_of_candidate","Political_affiliation","Electoral_district","Name_of_official_agent","Number_of_contributors","Total_amount_of_contributions","Total_amount_of_loans","Total_amount_of_transfers_received","Total_amount_of_election_expenses_subject_to_limit","Election_expenses_limit","Total_of_candidates_personal_expenses","Other_expenses_and_Outflows","Name_of_auditor","Auditors_report_qualified"
"29989","Ste-Marie, Caroline","Conservative Party of Canada","Chicoutimi--Le Fjord","Richard Gaudreault","","","","27150","33846.47","201130.77","1318.82","8576.49","Pageau, Yvan","N"
"29694","St-Hilaire, Daniel","Bloc Québécois","Alfred-Pellan","Louise Maheu","50","8700","4000","39315","39790.52","212592.47","1004.82","5725.16","Paquet, Chantal","N"
"30466","Stubbs, Shannon","Conservative Party of Canada","Lakeland","Sheryl I Lazaruk","363","38080.15","0","66500","95439.55","242495.35","2621.54","9962.41","Rozon, Gary Andrew","N"
"30336","Sullivan, Dagmar","Marxist-Leninist Party of Canada","Mississauga--Lakeshore","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30933","Sullivan, Linda","Marxist-Leninist Party of Canada","Châteauguay--Lacolle","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30329","Sullivan, Tim","Marxist-Leninist Party of Canada","Mississauga East--Cooksville","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32986","Swanston, Matthew","Libertarian Party of Canada","Steveston--Richmond East","Ken Swanston","","","","","","","","","Cahill, Jordan","N"
"29875","Tabasinejad, Pouyan","New Democratic Party","Willowdale","Brian McLean","27","3925","0","3750","6678.16","207725.33","843.83","143.1","Nayman, Bernard","N"
"30799","Taffarel, Mike","Marxist-Leninist Party of Canada","Sault Ste. Marie","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32895","Tessari, Wyatt","Green Party of Canada","Burnaby South","Carrie McLaren","2","1600","0","2772.3","790.18","207659.75","98.2","3188.75","Campbell, Stacey","N"
"30747","Theriault, Joseph","Marxist-Leninist Party of Canada","New Westminster--Burnaby","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"29710","Thind, Sucha","Conservative Party of Canada","Surrey Centre","Gerald B Lamb","171","37631.8","0","63000","95533.27","203771.47","0","7117.52","Rozon, Gary","N"
"30299","Toubis, Konstantin","Conservative Party of Canada","King--Vaughan","Lilia Mchumor","38","26700","36800","68000","148098.63","222565.07","1061.07","11193.42","Edmonds, Ian","N"
"33165","Turmel, The Engineer","Independent","Brantford--Brant","David Michael Swanson","","","","","","","","","Campbell, Stacey","N"
"32887","Twohig, Edd","Independent","Kings--Hants","Ronald W Hobbs","4","1896.53","0","0","1070.96","200775.69","742.8","82.77","Bustin, Gerald Reigh","N"
"30859","Vachon, André","Marxist-Leninist Party of Canada","Edmonton Manning","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30902","Verrier, Roland","Marxist-Leninist Party of Canada","Port Moody--Coquitlam","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30500","Villamizar, Enver","Marxist-Leninist Party of Canada","Essex","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30428","Villamizar, Margaret","Marxist-Leninist Party of Canada","Windsor West","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30360","Villeneuve, James","New Democratic Party","Kitchener--Conestoga","Neil Jensen","5","1260","","13160","13610.3","202562.28","114.31","695.39","Nayman, Bernard G.","N"
"30715","Vis, Brad","Conservative Party of Canada","Mission--Matsqui--Fraser Canyon","Jason Born","0","0","0","126575","97883.07","217198.4","4185.26","8081.14","Rozon, Gary","N"
"30308","Walker, Ron J.","Marxist-Leninist Party of Canada","Niagara Centre","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30055","Walsh, Tony","New Democratic Party","Chatham-Kent--Leamington","Brian W Sharp","46","5046","0","9725","12262.95","213665.7","0","4163.31","Nayman, Bernard","N"
"29623","Wang, Andy","Conservative Party of Canada","Nepean","Edward P Fine","181","33831","0","140000","161521.28","219121.45","1362.49","9156.44","Rozon, Gary Andrew","N"
"29742","Watts, Dianne Lynn","Conservative Party of Canada","South Surrey--White Rock","John G Schoberg","0","0","0","190660.58","163482.91","208357.11","396.75","5485.03","Rozon, Gary Andrew","N"
"32529","Wendler, Nicholas","Green Party of Canada","Kitchener Centre","Teresa C Cornwell","11","140","0","1800","1292.98","209737.44","0","34.5","Campbell, Stacey","N"
"32700","Williams, Clifford James","Independent","Kings--Hants","Phillip John Zamora","","","","","","","","","Doucette-Brison, Sheila Marie","N"
"30760","Wismer, Elaine","Marxist-Leninist Party of Canada","Mission--Matsqui--Fraser Canyon","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30480","Wright, Nick","Green Party of Canada","University--Rosedale","Brian C Keith","11","3105","0","15895.91","19152.7","206261.82","0","1015.61","Manickam, Nara","N"
"30565","Yansané, Fodé Kerfalla","Green Party of Canada","Beloeil--Chambly","Andrée Vézina Gladu","0","0","0","2625","2467.21","233044.7","61.31","38","Campbell, Stacey","N"
"30546","Yazbek, Rehya","New Democratic Party","Dufferin--Caledon","CHRISTINE E MADILL","18","2544.24","0","7460","9127.01","234924.06","716.24","602.44","Nayman, Bernard G","N"
"30611","Young, Joseph","Independent","Calgary Skyview","Katherine S LeRougetel","56","1438.8","1000","0","1614.02","206487.35","0","0","Lavoie, Sylvain","N"
