"DATE","TITLE","ACTIVITY"
"Jan 31, 2016 01:58","Candidates' Summary","FORTY-SECOND GENERAL ELECTION (October 19, 2015)"

SUMMARY_DATA
"Client_id","Name_of_candidate","Political_affiliation","Electoral_district","Name_of_official_agent","Number_of_contributors","Total_amount_of_contributions","Total_amount_of_loans","Total_amount_of_transfers_received","Total_amount_of_election_expenses_subject_to_limit","Election_expenses_limit","Total_of_candidates_personal_expenses","Other_expenses_and_Outflows","Name_of_auditor","Auditors_report_qualified"
"30394","Chouinard, Normand","Marxist-Leninist Party of Canada","La Prairie","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30404","Chow, Olivia","New Democratic Party","Spadina--Fort York","Edward W Cronau","178","53281.66","0","120525","157112.21","207037.56","1684.98","20505.67","Nayman, Bernard","N"
"30022","Clark, Myrna","New Democratic Party","Barrie--Innisfil","Geoff H Holland","31","5680.96","0","16155.5","20705.84","209977.36","501.43","714.74","Nayman, Bernard","N"
"32472","Clarke, Kevin","Independent","Scarborough--Guildwood","Dwight McLean","","","","","","","","","Manickam, Nara","N"
"29626","Cole, Jason","Conservative Party of Canada","Dartmouth--Cole Harbour","James W David","54","13038","0","36000","52353.5","205945.13","2267.99","1143.01","Strange, Greg","N"
"33164","Coulbeck, Paul","Marijuana Party","Scarborough--Guildwood","Denese Coulbeck","","","","","","","","","Rozon, Gary","N"
"30733","Coutinho, Jude","Christian Heritage Party of Canada","Scarborough--Agincourt","Ivor Anton Melville Patterson","4","700","0","0","621.16","203566.74","0","0","Perera, Henry Anthony","N"
"30574","Couto, Manuel","Marxist-Leninist Party of Canada","Cambridge","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"29889","Crockatt, Joan","Conservative Party of Canada","Calgary Centre","Wayne Steer","1","500","0","137490.01","140469.56","222181.2","204.23","0","Rozon, Gary Andrew","N"
"32836","Curry, Hugh","New Democratic Party","Kings--Hants","Judy Swift","11","3195","0","15895.5","15831.09","200775.69","359.91","1186.38","Morse, Brad","N"
"30604","Dandenault, Christine","Marxist-Leninist Party of Canada","Hochelaga","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30440","De Mello, Tanya","New Democratic Party","Etobicoke Centre","Anderson G Capelin","351","46794.06","0","45602.43","86715.88","226574.91","0","1551","Nayman, Bernard","N"
"32448","Deschamps, Fernand","Marxist-Leninist Party of Canada","Saint-Laurent","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30305","Di Carlo, Anna","Marxist-Leninist Party of Canada","Etobicoke North","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30569","Dostaler, Guy","Green Party of Canada","Gatineau","Josée Lamoureux","1","688.22","0","63.71","639.67","221893.3","113.28","6.74","Campbell, Stacey","N"
"30504","Dumas-Dubreuil, Pascal-Olivier","Bloc Québécois","Saint-Laurent","Micheline Bergeron","0","0","0","12014.99","12014.99","202992.54","0","0","Doyon, Louis M.","N"
"33199","Dussault, Alexander","Libertarian Party of Canada","Edmonton West","Barbara A Dussault","3","400","0","0","361.62","213830.45","0","0","Blais, Stéphane","N"
"33003","East, Jack","Marxist-Leninist Party of Canada","Nanaimo--Ladysmith","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"29715","Ettinger, Wayne","Green Party of Canada","Haldimand--Norfolk","William H Hurkmans","2","1100","0","15400","12277.23","219180.63","4100.5","12","Campbell, Stacey","N"
"29713","Faerber, Ram","Independent","Barrie--Springwater--Oro-Medonte","Marzena Faerber","3","1373.95","0","0","1353.95","207773.31","0","0","Campbell, Stacey","N"
"30332","Fernandez, Philip","Marxist-Leninist Party of Canada","Toronto Centre","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32483","Fields, Wendell","Marxist-Leninist Party of Canada","Hamilton East--Stoney Creek","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32818","Fiorito, Vince","Green Party of Canada","Burlington","James L Feilders","7","1285","0","500","1631.97","239840.79","63.38","14.85","Campbell, Stacey","N"
"30718","Fournier, Normand","Marxist-Leninist Party of Canada","Québec","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30997","Fuhr, Roger","No Affiliation","Perth--Wellington","Shelly Normand","","","","","28","208635.42","199","","Johns, David George","N"
"32461","Galland Barou, Roger","Bloc Québécois","Outremont","Micheline Bergeron","0","0","0","7646.02","6959.3","204392.07","686.72","0","Doyon, Louis","N"
"30687","Gauthier, Érick","Conservative Party of Canada","Rivière-des-Mille-Îles","Diane Laframboise","1","1500","0","32800","31082.28","217630.75","1238.82","2470.42","Côté, Paul","N"
"32584","Gendron, Steeve","Bloc Québécois","Saint-Léonard--Saint-Michel","Micheline Bergeron","0","0","0","3563.19","3194.52","209748.64","368.67","0","Doyon, Louis","N"
"30488","Gershuny, David","Marxist-Leninist Party of Canada","Oshawa","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30591","Gershuny, Lorne","Marxist-Leninist Party of Canada","Parkdale--High Park","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"29853","Giesbrecht, Gordon","Conservative Party of Canada","Winnipeg South","Ronald Hesford","60","10403","","124830","130109.13","198589.24","","1000","Pinchin, Rick","N"
"32932","Gilbert, Yoland","Green Party of Canada","Repentigny","Christine Gilbert","","","","","","","","","Campbell, Stacey","N"
"33074","Girard-Bernier, Gabriel","Marxist-Leninist Party of Canada","Hull--Aylmer","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"30074","Godin, Joël","Conservative Party of Canada","Portneuf--Jacques-Cartier","jean simard","27","11390","0","83460","73546.09","227576.17","7954.25","1100","Jacques, Marco","N"
"32796","Gray, Brian","Independent","South Okanagan--West Kootenay","Martha Ruth Manuel","","","","","","","","","Rozon, Gary","N"
"32870","Hansell, Judson","Green Party of Canada","Calgary Forest Lawn","DIANA JARAMILLO MARTINEZ","4","650","0","1838.71","2422.51","207423.03","0","0","Campbell, Stacey","N"
"30781","Harris, Darnel","New Democratic Party","Humber River--Black Creek","Janelle Baptiste-Brady","14","4485","","","3300.93","196402.78","676.83","757.24","Nayman, Bernard","N"
"29733","Harrop, Brandie","Green Party of Canada","Sherwood Park--Fort Saskatchewan","alastair j.p. hamlyn","27","1095.25","0","5264.23","4046.57","228934.1","2176.44","323.09","Campbell, Stacey","N"
"29968","Hassan, Faisal","New Democratic Party","Etobicoke North","Barrington Marsh","38","17840","0","24523.64","37821.55","201932.1","0","6225.93","Nayman, Bernard","N"
"30221","Hayes, Bryan","Conservative Party of Canada","Sault Ste. Marie","Jo-Anne L Brooks","22","6804","0","125369.6","115261.16","198539.65","90.39","1283.28","Ruscio, Joseph Anthony","N"
"32934","Haythornthwaite, Alastair","Marxist-Leninist Party of Canada","Cowichan--Malahat--Langford","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"32450","Heaton, Sam","Marxist-Leninist Party of Canada","Ottawa West--Nepean","Hélène Héroux","","","","","","","","","Lavoie, Sylvain","N"
"33256","Hiebert, Eduard Walter","Independent","Kildonan--St. Paul","Menno H Enns","3","1200","0","0","253.54","196949.8","943.01","0","Hildebrand, David","N"
