Geo_Code,FED_Name,Under5000Pct,5000To9999Pct,10000To14999Pct,15000To19999Pct,20000To29999Pct,30000To39999Pct,40000To49999Pct,50000To59999Pct,60000To79999Pct,80000To99999Pct,100000To124999Pct,125000AndOverPct,MaleUnder5000Pct,Male5000To9999Pct,Male10000To14999Pct,Male15000To19999Pct,Male20000To29999Pct,Male30000To39999Pct,Male40000To49999Pct,Male50000To59999Pct,Male60000To79999Pct,Male80000To99999Pct,Male100000To124999Pct,Male125000AndOverPct,FemaleTotIncome2010Pop15YearsAndOver,FemaleUnder5000Pct,Female5000To9999Pct,Female10000To14999Pct,Female15000To19999Pct,Female20000To29999Pct,Female30000To39999Pct,Female40000To49999Pct,Female50000To59999Pct,Female60000To79999Pct,Female80000To99999Pct,Female100000To124999Pct,Female125000AndOverPct
35099,Simcoe--Grey,8.25,6.459,8.229,8.392,14.173,11.584,9.668,7.861,10.854,5.299,2.557,2.3,7.97,4.236,6.365,6.365,11.735,11.19,9.81,8.911,14.698,7.306,3.755,3.872,48470,8.51,8.603,10.017,10.347,16.526,11.956,9.521,6.85,7.159,3.363,1.393,0.784
35100,Simcoe North,8.675,7.114,8.797,9.428,15.882,12.594,9.765,7.258,7.833,4.296,1.893,1.639,8.896,5.45,6.435,7.076,15.056,12.491,10.327,9.045,10.156,5.198,2.714,2.45,46645,8.468,8.672,11.009,11.641,16.658,12.681,9.24,5.574,5.67,3.452,1.136,0.879
35101,Spadina--Fort York,10.071,5.121,6.369,6.369,9.84,8.065,9.128,8.408,13.312,8.23,4.897,6.91,10.35,4.392,5.149,5.228,9.023,7.696,8.785,7.643,14.013,9.475,5.679,10.032,38085,9.807,5.842,7.588,7.496,10.634,8.429,9.453,9.177,12.603,7.011,4.135,3.82
35102,Stormont--Dundas--South Glengarry,8.294,6.924,9.405,9.169,16.878,13.715,10.268,6.882,7.521,3.61,1.503,1.25,8.436,4.361,7.293,7.293,15.828,14.039,11.393,8.771,10.163,4.572,2.075,1.814,42585,8.16,9.346,11.389,10.943,17.87,13.408,9.205,5.096,5.037,2.689,0.963,0.704
35103,Sudbury,8.391,6.692,9.479,8.502,14.231,11.803,10.852,7.539,8.619,5.254,2.467,2.65,8.739,4.669,8.209,5.649,11.217,11.966,12.102,9.257,10.958,6.017,3.553,4.37,40075,8.072,8.546,10.63,11.117,17.006,11.641,9.719,5.976,6.475,4.566,1.485,1.085
35104,Thornhill,12.51,6.766,7.633,8.081,11.389,9.489,7.981,6.385,9.456,5.993,3.667,4.988,13.533,5.212,5.674,7.2,10.262,8.795,7.662,5.709,10.644,7.177,4.888,7.951,47265,11.584,8.188,9.426,8.897,12.43,10.124,8.262,6.992,8.368,4.919,2.56,2.274
35105,Thunder Bay--Rainy River,8.153,6.72,9.658,8.182,14.095,12.305,10.756,8.458,9.229,5.018,1.731,1.505,8.154,5.609,7.41,5.803,11.427,11.948,12.022,10.266,12.082,6.666,2.723,2.262,35145,8.152,7.796,11.808,10.471,16.631,12.662,9.546,6.715,6.516,3.457,0.797,0.768
35106,Thunder Bay--Superior North,7.579,6.871,8.528,8.382,14.727,12.223,10.032,7.411,9.39,5.651,2.716,1.964,7.474,5.523,6.431,5.568,13.056,12.133,10.377,9.171,12.148,6.431,4.169,3.29,34890,7.681,8.154,10.547,11.106,16.337,12.296,9.702,5.718,6.735,4.887,1.318,0.688
35107,Timmins--James Bay,8.919,7.359,7.866,9.487,14.469,11.538,9.275,7.193,8.889,5.504,2.68,2.173,8.433,4.802,6.215,7.324,12.566,11.381,9.938,8.752,11.898,7.111,4.027,3.647,33135,9.416,9.899,9.522,11.634,16.357,11.679,8.616,5.628,5.9,3.893,1.343,0.709
35108,Toronto Centre,12.185,7.617,10.313,9.562,11.225,9.125,8.072,6.009,8.946,5.609,3.393,4.242,11.096,6.711,10.725,8.816,10.702,9.279,8.261,5.97,9.499,6.34,3.76,5.866,37990,13.438,8.647,9.871,10.397,11.819,8.963,7.87,6.041,8.318,4.778,2.974,2.409
35109,Toronto--Danforth,9.945,6.579,8.394,10.158,11.933,9.101,7.992,6.377,9.29,7.004,4.171,4.734,10.403,5.924,7.595,9.1,11.6,8.626,8.187,6.623,8.993,7.559,4.775,6.505,44825,9.526,7.183,9.136,11.154,12.248,9.548,7.819,6.135,9.571,6.492,3.603,3.067
35110,University--Rosedale,12.672,6.517,7.782,8.668,10.958,8.12,7.368,6.243,9.466,5.561,3.841,9.559,12.408,5.44,7.016,7.367,11.39,7.609,7.476,6.143,9.839,5.671,4.192,12.759,44515,12.906,7.503,8.492,9.884,10.547,8.593,7.267,6.335,9.109,5.448,3.516,6.593
35111,Vaughan--Woodbridge,10.126,6.639,7.691,8.81,12.309,10.167,8.792,7.123,10.335,5.945,3.361,3.577,10.413,4.268,5.139,7.175,10.818,10.352,9.027,8.083,12.4,7.065,4.882,5.274,42835,9.852,8.895,10.12,10.365,13.727,10.004,8.556,6.222,8.381,4.868,1.914,1.961
35112,Waterloo,10.61,6.819,7.522,6.354,11.021,10.061,8.44,7.594,10.318,7.618,4.023,4.751,10.3,5.271,5.946,5.078,9.335,8.998,7.695,8.407,11.639,9.613,5.596,7.683,42430,10.924,8.331,9.062,7.613,12.68,11.112,9.168,6.799,9.015,5.668,2.475,1.897
35113,Wellington--Halton Hills,8.184,6.607,6.465,6.346,10.935,10.886,10.109,8.467,11.017,7.602,4.236,5.008,7.735,5.403,4.5,4.544,8.737,9.947,9.606,9.1,13.072,9.177,6.129,7.978,46510,8.633,7.783,8.396,8.095,13.094,11.804,10.6,7.848,9.02,6.074,2.387,2.096
35114,Whitby,10.139,6.472,6.724,6.24,9.655,9.397,8.013,7.587,11.602,8.676,5.077,4.688,9.977,4.678,5.081,4.482,8.091,8.309,7.633,7.6,13.303,10.784,7.186,7.687,49170,10.291,8.145,8.267,7.881,11.115,10.423,8.379,7.586,10.026,6.711,3.122,1.891
35115,Willowdale,17.356,6.235,7.687,8.316,10.356,8.202,7.187,6.313,8.925,5.537,3.388,4.059,17.627,5.795,6.591,7.287,9.875,7.752,7.354,6.049,9.875,6.602,4.058,6.126,50855,17.117,6.627,8.662,9.242,10.795,8.603,7.04,6.558,8.082,4.591,2.782,2.222
35116,Windsor--Tecumseh,10.189,6.868,8.636,9.077,13.562,12.188,10.147,6.915,8.631,5.126,1.821,1.474,10.631,5.454,6.447,5.984,11.78,11.581,11.658,7.916,11.382,6.745,3.014,2.628,50010,9.788,8.148,10.618,11.858,15.167,12.747,8.778,5.999,6.129,3.659,0.73,0.43
35117,Windsor West,13.182,7.906,9.616,9.595,13.353,10.094,8.358,5.593,7.921,4.273,1.45,1.393,14.777,6.219,8.035,7.02,11.39,9.584,9.136,6.731,10.792,5.503,2.319,2.276,49400,11.67,9.514,11.123,12.024,15.213,10.577,7.621,4.514,5.202,3.107,0.638,0.567
35118,York Centre,11.048,6.929,9.199,10.85,15.726,11.619,8.454,5.812,6.749,3.399,1.699,2.09,11.433,5.749,7.911,8.598,13.881,12.107,9.698,6.526,8.08,4.118,2.305,3.172,44655,10.704,7.95,10.301,12.787,17.333,11.197,7.379,5.195,5.587,2.777,1.176,1.153
35119,York--Simcoe,8.585,7.071,8.343,7.674,12.098,11.187,9.811,8.546,10.741,5.656,2.667,2.3,8.232,5.338,6.448,5.708,10.69,11.033,9.659,9.263,14.006,7.175,3.819,3.369,38455,8.946,8.776,10.194,9.622,13.483,11.338,9.947,7.84,7.528,4.174,1.534,1.261
35120,York South--Weston,11.084,7.662,9.57,11.596,15.942,12.129,8.792,5.87,5.87,3.018,1.04,0.976,11.527,6.761,8.608,9.862,14.537,12.655,9.52,6.693,7.73,3.523,1.3,1.391,49925,10.706,8.453,10.406,13.13,17.176,11.657,8.152,5.148,4.246,2.574,0.801,0.611
