Geo_Code,FED_Name,NoDiplomaPct,HighSchoolDiplomaOrEquivalentPct,PostsecondaryCertificateDiplomaOrDegreePct,ApprenticeshipOrTradesCertificateOrDiplomaPct,CollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,UniversityCertificateOrDiplomaBelowBachelorLevelPct,UniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,BachelorDegreePct,UniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct,MaleNoDiplomaPct,MaleHighSchoolDiplomaOrEquivalentPct,MalePostsecondaryCertificateDiplomaOrDegreePct,MaleApprenticeshipOrTradesCertificateOrDiplomaPct,MaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,MaleUniversityCertificateOrDiplomaBelowBachelorLevelPct,MaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,MaleBachelorDegreePct,MaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct,FemaleNoDiplomaPct,FemaleHighSchoolDiplomaOrEquivalentPct,FemalePostsecondaryCertificateDiplomaOrDegreePct,FemaleApprenticeshipOrTradesCertificateOrDiplomaPct,FemaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiplomaPct,FemaleUniversityCertificateOrDiplomaBelowBachelorLevelPct,FemaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbovePct,FemaleBachelorDegreePct,FemaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevelPct
35039,Hastings--Lennox and Addington,23.672,28.397,47.925,11.773,23.705,2.059,10.381,6.883,3.504,25.845,26.475,47.668,17.038,20.094,1.971,8.579,5.349,3.231,21.549,30.257,48.167,6.681,27.216,2.145,12.126,8.37,3.756
35040,Huron--Bruce,23.662,27.393,48.945,10.761,23.423,2.524,12.236,8.161,4.075,25.327,25.975,48.687,15.703,19.614,2.403,10.967,6.891,4.064,22.026,28.787,49.187,5.907,27.149,2.654,13.476,9.403,4.084
35041,Kanata--Carleton,11.176,22.049,66.768,5.013,21.221,4.122,36.412,21.891,14.527,11.489,21.233,67.278,6.384,19.682,3.722,37.503,21.181,16.322,10.879,22.834,66.275,3.725,22.686,4.505,35.371,22.562,12.797
35042,Kenora,30.187,25.228,44.586,11.237,18.926,2.917,11.505,7.655,3.839,32.173,24.042,43.785,17.009,14.93,2.407,9.439,6.355,3.084,28.182,26.434,45.385,5.478,22.914,3.427,13.566,8.951,4.615
35043,King--Vaughan,18.505,25.844,55.657,6.775,17.977,5.441,25.458,16.488,8.977,18.22,26.065,55.714,9.346,16.804,5.097,24.479,15.303,9.165,18.776,25.617,55.596,4.316,19.114,5.77,26.408,17.613,8.783
35044,Kingston and the Islands,14.965,26.663,58.367,7.412,21.55,2.84,26.564,13.831,12.739,14.984,27.11,57.906,10.262,18.25,2.361,27.033,12.468,14.565,14.958,26.274,58.778,4.871,24.493,3.267,26.156,15.046,11.11
35045,Kitchener Centre,21.567,27.724,50.714,8.129,19.706,2.909,19.97,12.244,7.726,20.788,27.69,51.534,11.167,17.973,2.768,19.638,11.491,8.148,22.311,27.757,49.931,5.229,21.362,3.055,20.286,12.963,7.323
35046,Kitchener--Conestoga,21.943,26.713,51.33,7.68,20.776,3.083,19.797,12.916,6.881,22.506,25.53,51.964,11.613,18.028,2.882,19.426,12.447,6.979,21.412,27.857,50.717,3.878,23.433,3.277,20.142,13.355,6.787
35047,Kitchener South--Hespeler,19.228,29.631,51.135,7.661,22.493,3.168,17.819,12.213,5.605,19.409,29.757,50.86,10.401,20.735,2.994,16.73,11.517,5.213,19.068,29.512,51.42,5.006,24.213,3.337,18.864,12.877,5.986
35048,Lambton--Kent--Middlesex,23.648,31.397,44.954,9.326,22.601,2.354,10.674,6.89,3.789,25.611,30.842,43.547,13.594,18.553,1.969,9.442,5.848,3.594,21.714,31.94,46.323,5.125,26.582,2.72,11.884,7.915,3.969
35049,Lanark--Frontenac--Kingston,18.735,28.453,52.812,10.379,24.729,2.565,15.146,9.706,5.439,20.881,27.741,51.378,15.356,20.352,2.253,13.43,8.307,5.11,16.695,29.134,54.183,5.597,28.929,2.853,16.804,11.037,5.766
35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,19.58,29.384,51.024,9.503,24.884,2.7,13.931,9.297,4.634,20.554,28.974,50.472,14.009,20.691,2.645,13.115,8.159,4.955,18.659,29.776,51.565,5.235,28.871,2.753,14.706,10.365,4.329
35051,London--Fanshawe,22.767,31.797,45.436,8.952,22.84,2.867,10.777,7.117,3.66,23.215,31.515,45.27,12.563,20.219,2.599,9.9,6.11,3.79,22.341,32.064,45.595,5.593,25.298,3.117,11.587,8.059,3.538
35052,London North Centre,14.823,25.905,59.277,5.985,20.331,3.711,29.244,15.591,13.658,14.746,26.07,59.173,7.932,18.336,3.434,29.472,14.778,14.694,14.894,25.752,59.363,4.171,22.181,3.958,29.043,16.346,12.697
35053,London West,13.763,25.395,60.837,5.734,23.371,4.027,27.695,16.952,10.748,14.278,25.909,59.824,7.613,21.205,3.507,27.489,16.02,11.479,13.31,24.954,61.745,4.074,25.291,4.488,27.882,17.769,10.113
35054,Markham--Stouffville,13.806,24.735,61.453,5.467,19.873,5.865,30.236,20.381,9.856,13.388,23.958,62.642,7.978,19.181,5.589,29.882,19.73,10.152,14.198,25.463,60.35,3.123,20.533,6.123,30.582,20.99,9.592
