Geo_Code,FED_Name,TotalNumberOfPrivateHouseholdsByAgeGroupOfPrimaryHouseholdMaintainers,Under25Years,25To34Years,35To44Years,45To54Years,55To64Years,65To74Years,75AndOver,Under25YearsPct,25To34YearsPct,35To44YearsPct,45To54YearsPct,55To64YearsPct,65To74YearsPct,75AndOverPct
59008,Coquitlam--Port Coquitlam,39605,785,4770,8550,11365,7695,3765,2680,1.982,12.044,21.588,28.696,19.429,9.506,6.767
59009,Courtenay--Alberni,49635,1125,4440,6015,9545,11565,9210,7730,2.267,8.945,12.118,19.230,23.300,18.555,15.574
59010,Cowichan--Malahat--Langford,40275,945,5050,6485,9175,8565,5325,4730,2.346,12.539,16.102,22.781,21.266,13.222,11.744
59011,Delta,35055,335,2660,6185,9300,7980,5000,3590,0.956,7.588,17.644,26.530,22.764,14.263,10.241
59012,Fleetwood--Port Kells,32850,590,3510,7345,9440,6660,2935,2360,1.796,10.685,22.359,28.737,20.274,8.935,7.184
59013,Kamloops--Thompson--Cariboo,49430,2025,6000,7620,10810,10510,7405,5055,4.097,12.138,15.416,21.869,21.262,14.981,10.227
59014,Kelowna--Lake Country,44100,1515,5825,7465,9925,8585,5795,4990,3.435,13.209,16.927,22.506,19.467,13.141,11.315
59015,Kootenay--Columbia,46445,1240,5575,7000,10100,10640,6720,5175,2.670,12.003,15.072,21.746,22.909,14.469,11.142
59016,Langley--Aldergrove,36625,655,3800,7110,9205,7765,4545,3545,1.788,10.375,19.413,25.133,21.201,12.410,9.679
59017,Mission--Matsqui--Fraser Canyon,31170,650,3860,5825,7620,6380,4010,2830,2.085,12.384,18.688,24.447,20.468,12.865,9.079
59018,Nanaimo--Ladysmith,49435,1590,5360,7095,10565,10875,7550,6415,3.216,10.843,14.352,21.371,21.999,15.273,12.977
59019,New Westminster--Burnaby,45725,1770,7260,9055,10695,8410,4465,4075,3.871,15.878,19.803,23.390,18.393,9.765,8.912
59020,North Okanagan--Shuswap,51175,1160,4645,6690,11045,11355,8885,7395,2.267,9.077,13.073,21.583,22.189,17.362,14.450
59021,North Vancouver,45160,935,5205,8560,10960,8910,5440,5155,2.070,11.526,18.955,24.269,19.730,12.046,11.415
59022,Pitt Meadows--Maple Ridge,34835,710,4255,7085,9310,6570,3815,3085,2.038,12.215,20.339,26.726,18.860,10.952,8.856
59023,Port Moody--Coquitlam,40125,1040,5195,8430,10510,7725,4310,2915,2.592,12.947,21.009,26.193,19.252,10.741,7.265
59024,Prince George--Peace River--Northern Rockies,42600,2280,7310,8000,10080,7870,4240,2815,5.352,17.160,18.779,23.662,18.474,9.953,6.608
59025,Richmond Centre,33890,945,3085,5615,8840,7935,4010,3465,2.788,9.103,16.568,26.084,23.414,11.832,10.224
59026,Esquimalt--Saanich--Sooke,47890,1730,6765,8485,10920,9770,5390,4835,3.612,14.126,17.718,22.802,20.401,11.255,10.096
59027,Saanich--Gulf Islands,43860,960,2830,5025,8475,10820,7590,8160,2.189,6.452,11.457,19.323,24.669,17.305,18.605
59028,Skeena--Bulkley Valley,35780,1175,4415,6370,8820,7700,4475,2830,3.284,12.339,17.803,24.651,21.520,12.507,7.909
59029,South Okanagan--West Kootenay,49985,975,4475,6345,9850,11320,8740,8270,1.951,8.953,12.694,19.706,22.647,17.485,16.545
59030,South Surrey--White Rock,38455,390,2765,5575,8400,8765,6390,6170,1.014,7.190,14.497,21.844,22.793,16.617,16.045
59031,Steveston--Richmond East,34085,765,3875,6450,8915,7515,3570,2995,2.244,11.369,18.923,26.155,22.048,10.474,8.787
59032,Surrey Centre,37990,1485,6180,8365,9415,6635,3425,2490,3.909,16.267,22.019,24.783,17.465,9.016,6.554
59033,Surrey--Newton,30695,600,4745,7240,7630,5470,3145,1865,1.955,15.459,23.587,24.857,17.820,10.246,6.076
59034,Vancouver Centre,62045,4455,18565,12660,9825,8365,4930,3235,7.180,29.922,20.405,15.835,13.482,7.946,5.214
59035,Vancouver East,50060,2085,10710,10380,10320,7880,4365,4325,4.165,21.394,20.735,20.615,15.741,8.720,8.640
59036,Vancouver Granville,46315,2000,9345,9690,9565,7890,3855,3965,4.318,20.177,20.922,20.652,17.036,8.323,8.561
59037,North Island--Powell River,44835,1085,4365,6145,10220,10980,6905,5135,2.420,9.736,13.706,22.795,24.490,15.401,11.453
59038,Vancouver Kingsway,35760,1480,5480,7010,8240,6515,3480,3550,4.139,15.324,19.603,23.043,18.219,9.732,9.927
59039,Vancouver Quadra,43275,2480,6925,8190,9005,7715,4685,4275,5.731,16.002,18.925,20.809,17.828,10.826,9.879
59040,Vancouver South,32620,645,3160,6100,8235,6875,3810,3800,1.977,9.687,18.700,25.245,21.076,11.680,11.649
59041,Victoria,56315,3875,10380,7730,9570,10855,6335,7565,6.881,18.432,13.726,16.994,19.276,11.249,13.433
59042,West Vancouver--Sunshine Coast--Sea to Sky Country,46355,775,4230,7230,10045,10125,7410,6535,1.672,9.125,15.597,21.670,21.842,15.985,14.098
60001,Yukon,14120,470,2080,2645,3790,3065,1425,640,3.329,14.731,18.732,26.841,21.707,10.092,4.533
61001,Northwest Territories,14700,785,3035,3160,3790,2420,1015,495,5.340,20.646,21.497,25.782,16.463,6.905,3.367
62001,Nunavut,8660,525,2210,2255,1895,1210,405,165,6.062,25.520,26.039,21.882,13.972,4.677,1.905
