Geo_Code,FED_Name,TotalNumberOfPrivateHouseholdsByAgeGroupOfPrimaryHouseholdMaintainers,Under25Years,25To34Years,35To44Years,45To54Years,55To64Years,65To74Years,75AndOver,Under25YearsPct,25To34YearsPct,35To44YearsPct,45To54YearsPct,55To64YearsPct,65To74YearsPct,75AndOverPct
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,42215,1235,4785,5850,9250,9465,6820,4810,2.926,11.335,13.858,21.912,22.421,16.155,11.394
24052,Mount Royal,39515,965,5025,7145,7585,6920,5285,6590,2.442,12.717,18.082,19.195,17.512,13.375,16.677
24053,Notre-Dame-de-Grace--Westmount,47565,2445,7840,8750,9100,8440,5360,5625,5.140,16.483,18.396,19.132,17.744,11.269,11.826
24054,Outremont,47650,4455,11675,8755,7700,6650,4380,4035,9.349,24.502,18.374,16.159,13.956,9.192,8.468
24055,Papineau,50940,2845,11665,10180,9415,7310,4885,4640,5.585,22.899,19.984,18.483,14.350,9.590,9.109
24056,Pierrefonds--Dollard,38940,560,3665,7110,9835,8535,5365,3875,1.438,9.412,18.259,25.257,21.918,13.778,9.951
24057,Pontiac,42410,1015,6230,8360,10440,8675,4870,2820,2.393,14.690,19.712,24.617,20.455,11.483,6.649
24058,Portneuf--Jacques-Cartier,41840,880,6465,7690,9915,8450,5230,3210,2.103,15.452,18.380,23.697,20.196,12.500,7.672
24059,Quebec,53370,3045,10535,6380,8980,10640,7035,6760,5.705,19.740,11.954,16.826,19.936,13.182,12.666
24060,Repentigny,44580,930,5700,7980,11355,9060,5720,3825,2.086,12.786,17.900,25.471,20.323,12.831,8.580
24061,Richmond--Arthabaska,44795,1440,6075,6795,9580,9915,6585,4405,3.215,13.562,15.169,21.386,22.134,14.700,9.834
24062,Riviere-des-Mille-iles,40015,1165,4875,7665,10930,7830,4735,2815,2.911,12.183,19.155,27.315,19.568,11.833,7.035
24063,Riviere-du-Nord,44580,1785,6200,7450,10385,8680,6120,3960,4.004,13.908,16.712,23.295,19.471,13.728,8.883
24064,Rosemont--La Petite-Patrie,57270,3020,15255,10750,10665,8515,4595,4475,5.273,26.637,18.771,18.622,14.868,8.023,7.814
24065,Marc-Aurele-Fortin,34810,560,4085,7820,9810,6620,3550,2365,1.609,11.735,22.465,28.182,19.018,10.198,6.794
24066,Saint-Hyacinthe--Bagot,43010,1885,6410,6665,9575,8710,5720,4050,4.383,14.904,15.496,22.262,20.251,13.299,9.416
24067,Saint-Jean,45430,1555,7095,8040,10240,9015,5740,3740,3.423,15.617,17.698,22.540,19.844,12.635,8.232
24068,Saint-Laurent,35985,890,5330,7860,7195,5620,4205,4880,2.473,14.812,21.842,19.994,15.618,11.685,13.561
24069,Saint-Leonard--Saint-Michel,43990,980,5600,9785,8605,6770,6325,5925,2.228,12.730,22.244,19.561,15.390,14.378,13.469
24070,Saint-Maurice--Champlain,50075,1130,5790,6155,11340,11395,8010,6255,2.257,11.563,12.292,22.646,22.756,15.996,12.491
24071,Salaberry--Suroit,46095,1440,5990,6940,10185,9485,6935,5120,3.124,12.995,15.056,22.096,20.577,15.045,11.107
24072,Shefford,45845,1840,6635,7030,10635,9610,6270,3830,4.014,14.473,15.334,23.198,20.962,13.677,8.354
24073,Sherbrooke,51980,4625,8690,6965,9780,9535,6475,5920,8.898,16.718,13.399,18.815,18.344,12.457,11.389
24074,Vaudreuil--Soulanges,42455,720,5625,9635,10930,8070,4590,2875,1.696,13.249,22.695,25.745,19.008,10.811,6.772
24075,Terrebonne,39390,1050,6430,8795,10475,6905,3905,1825,2.666,16.324,22.328,26.593,17.530,9.914,4.633
24076,Trois-Rivieres,52520,3120,7450,6625,10710,10355,7975,6275,5.941,14.185,12.614,20.392,19.716,15.185,11.948
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,55770,7115,14485,8875,8165,8315,5090,3725,12.758,25.973,15.914,14.640,14.909,9.127,6.679
24078,Vimy,45100,1580,6455,7265,9330,8280,6295,5890,3.503,14.313,16.109,20.687,18.359,13.958,13.060
35001,Ajax,35040,240,4315,8740,10450,6490,2795,2010,0.685,12.314,24.943,29.823,18.522,7.977,5.736
35002,Algoma--Manitoulin--Kapuskasing,35140,875,3200,4505,7580,8220,6235,4515,2.490,9.106,12.820,21.571,23.392,17.743,12.849
35003,Aurora--Oak Ridges--Richmond Hill,31535,180,2565,8660,10710,5495,2635,1280,0.571,8.134,27.462,33.962,17.425,8.356,4.059
35004,Barrie--Innisfil,35425,580,4840,8810,9550,5180,3675,2780,1.637,13.663,24.869,26.958,14.622,10.374,7.848
35005,Barrie--Springwater--Oro-Medonte,37630,1300,4905,6150,9620,7370,4500,3780,3.455,13.035,16.343,25.565,19.585,11.959,10.045
35006,Bay of Quinte,45960,1485,5350,6490,9965,9165,7005,6500,3.231,11.641,14.121,21.682,19.941,15.242,14.143
35007,Beaches--East York,45680,1205,6170,10435,11195,8680,4405,3595,2.638,13.507,22.844,24.507,19.002,9.643,7.870
35008,Brampton Centre,33675,510,3985,7455,8780,6520,4115,2305,1.514,11.834,22.138,26.073,19.362,12.220,6.845
35009,Brampton East,22960,175,3575,7570,6485,3580,1170,395,0.762,15.571,32.970,28.245,15.592,5.096,1.720
35010,Brampton North,30680,350,3230,7470,9305,6170,3080,1075,1.141,10.528,24.348,30.329,20.111,10.039,3.504
35011,Brampton South,34635,745,4760,7670,8650,6230,3460,3115,2.151,13.743,22.145,24.975,17.988,9.990,8.994
35012,Brampton West,27325,265,4645,8870,7685,3635,1510,715,0.970,16.999,32.461,28.124,13.303,5.526,2.617
35013,Brantford--Brant,51735,1640,6705,9140,11445,10295,6505,6005,3.170,12.960,17.667,22.122,19.899,12.574,11.607
35014,Bruce--Grey--Owen Sound,43830,1025,4530,5640,9380,9720,7375,6170,2.339,10.335,12.868,21.401,22.177,16.826,14.077
35015,Burlington,49580,650,4955,8205,11135,9295,7300,8035,1.311,9.994,16.549,22.459,18.747,14.724,16.206
35016,Cambridge,41465,1150,5915,8540,9925,7365,4625,3950,2.773,14.265,20.596,23.936,17.762,11.154,9.526
35017,Chatham-Kent--Leamington,44380,1205,5510,7065,9855,9015,6005,5725,2.715,12.416,15.919,22.206,20.313,13.531,12.900
35018,Davenport,41260,1570,8675,8410,8270,6235,3995,4100,3.805,21.025,20.383,20.044,15.111,9.683,9.937
35019,Don Valley East,37595,790,4720,7590,8235,6280,4410,5570,2.101,12.555,20.189,21.905,16.704,11.730,14.816
35020,Don Valley North,38010,670,4485,7375,8220,6680,5315,5265,1.763,11.800,19.403,21.626,17.574,13.983,13.852
35021,Don Valley West,39215,840,5200,8170,8995,7135,4695,4165,2.142,13.260,20.834,22.938,18.195,11.972,10.621
35022,Dufferin--Caledon,39155,310,3765,8585,10845,7900,4700,3045,0.792,9.616,21.926,27.698,20.176,12.004,7.777
35023,Durham,40640,635,5255,8610,10775,7205,4515,3640,1.563,12.931,21.186,26.513,17.729,11.110,8.957
35024,Eglinton--Lawrence,43950,980,5695,8505,9730,8115,4755,6175,2.230,12.958,19.352,22.139,18.464,10.819,14.050
35025,Elgin--Middlesex--London,41635,955,4765,7675,9640,8320,5725,4560,2.294,11.445,18.434,23.154,19.983,13.750,10.952
35026,Essex,43850,475,4290,8720,11045,9025,5900,4395,1.083,9.783,19.886,25.188,20.582,13.455,10.023
35027,Etobicoke Centre,43520,570,3400,6635,10315,8375,5990,8235,1.310,7.813,15.246,23.702,19.244,13.764,18.922
35028,Etobicoke--Lakeshore,52635,1185,7780,10325,11745,9575,5640,6375,2.251,14.781,19.616,22.314,18.191,10.715,12.112
35029,Etobicoke North,37110,1000,4630,7980,8695,6655,4230,3915,2.695,12.476,21.504,23.430,17.933,11.399,10.550
35030,Flamborough--Glanbrook,33535,195,3730,6885,8675,6355,3920,3760,0.581,11.123,20.531,25.868,18.950,11.689,11.212
35031,Glengarry--Prescott--Russell,41065,870,4760,7265,10745,8425,5480,3520,2.119,11.591,17.691,26.166,20.516,13.345,8.572
35032,Guelph,48115,2280,8095,9050,10610,8290,4755,5040,4.739,16.824,18.809,22.051,17.230,9.883,10.475
35033,Haldimand--Norfolk,41865,725,4185,6375,9610,9390,6220,5355,1.732,9.996,15.228,22.955,22.429,14.857,12.791
35034,Haliburton--Kawartha Lakes--Brock,44750,635,3635,5545,9760,10600,7800,6770,1.419,8.123,12.391,21.810,23.687,17.430,15.128
35035,Hamilton Centre,47670,3240,8710,7990,9980,8355,4760,4640,6.797,18.271,16.761,20.936,17.527,9.985,9.734
35036,Hamilton East--Stoney Creek,42965,1010,4870,7320,9260,8385,6135,5990,2.351,11.335,17.037,21.552,19.516,14.279,13.942
35037,Hamilton Mountain,39315,855,4490,6510,9610,7370,4845,5635,2.175,11.421,16.559,24.444,18.746,12.324,14.333
35038,Hamilton West--Ancaster--Dundas,40325,1455,3935,6630,9350,8180,5340,5440,3.608,9.758,16.441,23.187,20.285,13.242,13.490
35039,Hastings--Lennox and Addington,36405,580,3620,5370,8285,8450,6050,4060,1.593,9.944,14.751,22.758,23.211,16.619,11.152
35040,Huron--Bruce,42410,1050,5025,5650,8850,9320,6710,5810,2.476,11.849,13.322,20.868,21.976,15.822,13.700
35041,Kanata--Carleton,34995,395,4265,8380,9780,6465,3610,2110,1.129,12.187,23.946,27.947,18.474,10.316,6.029
35042,Kenora,21145,785,2920,3365,4810,4405,2620,2240,3.712,13.809,15.914,22.748,20.832,12.391,10.594
35043,King--Vaughan,31970,110,3875,9015,9215,4865,2895,1985,0.344,12.121,28.198,28.824,15.217,9.055,6.209
35044,Kingston and the Islands,50415,3615,7930,7575,10245,8650,6260,6140,7.170,15.729,15.025,20.321,17.158,12.417,12.179
35045,Kitchener Centre,45035,2065,7645,7870,9525,7475,5105,5360,4.585,16.976,17.475,21.150,16.598,11.336,11.902
35046,Kitchener--Conestoga,30935,455,5040,6825,7355,5720,3355,2200,1.471,16.292,22.062,23.776,18.490,10.845,7.112
35047,Kitchener South--Hespeler,35725,1120,6640,7905,8540,6220,3420,1880,3.135,18.586,22.127,23.905,17.411,9.573,5.262
35048,Lambton--Kent--Middlesex,40620,770,4230,6615,9535,8375,6195,4905,1.896,10.414,16.285,23.474,20.618,15.251,12.075
35049,Lanark--Frontenac--Kingston,39210,625,3230,5770,9610,9175,6295,4510,1.594,8.238,14.716,24.509,23.400,16.055,11.502
35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,41070,675,3855,6205,9285,9120,6500,5435,1.644,9.386,15.108,22.608,22.206,15.827,13.234
35051,London--Fanshawe,46730,1720,7320,8595,11340,8740,5095,3915,3.681,15.664,18.393,24.267,18.703,10.903,8.378
35052,London North Centre,54015,4895,9670,8360,10335,8585,5750,6415,9.062,17.902,15.477,19.134,15.894,10.645,11.876
35053,London West,49455,1600,7610,8495,10640,9495,6060,5555,3.235,15.388,17.177,21.515,19.199,12.254,11.232
35054,Markham--Stouffville,35490,250,4080,8605,8475,6765,4185,3130,0.704,11.496,24.246,23.880,19.062,11.792,8.819
35055,Markham--Thornhill,27975,345,1885,5110,8055,7335,3585,1660,1.233,6.738,18.266,28.794,26.220,12.815,5.934
35056,Markham--Unionville,31095,335,2915,7010,9280,6785,2870,1895,1.077,9.374,22.544,29.844,21.820,9.230,6.094
35057,Milton,28785,180,5930,8415,6130,4300,2345,1485,0.625,20.601,29.234,21.296,14.938,8.147,5.159
35058,Mississauga Centre,41130,850,6325,8535,10460,7690,4435,2835,2.067,15.378,20.751,25.432,18.697,10.783,6.893
35059,Mississauga East--Cooksville,43070,715,4650,8170,10445,8795,5755,4535,1.660,10.796,18.969,24.251,20.420,13.362,10.529
35060,Mississauga--Erin Mills,35610,440,3155,8400,10930,7355,3360,1965,1.236,8.860,23.589,30.694,20.654,9.436,5.518
35061,Mississauga--Lakeshore,44545,585,4655,8295,11430,8935,5760,4880,1.313,10.450,18.622,25.659,20.058,12.931,10.955
35062,Mississauga--Malton,33300,595,3725,8215,10085,6335,2880,1460,1.787,11.186,24.670,30.285,19.024,8.649,4.384
35063,Mississauga--Streetsville,36935,435,3670,8785,11685,7555,3085,1720,1.178,9.936,23.785,31.637,20.455,8.353,4.657
35064,Nepean,36065,570,5350,8770,9560,6395,3345,2070,1.580,14.834,24.317,26.508,17.732,9.275,5.740
35065,Newmarket--Aurora,37230,445,4175,8450,10760,6970,3390,3050,1.195,11.214,22.697,28.901,18.721,9.106,8.192
35066,Niagara Centre,43405,1185,4910,6995,9650,8515,5885,6255,2.730,11.312,16.116,22.232,19.618,13.558,14.411
35067,Niagara Falls,51860,940,5110,8400,11210,11120,7710,7365,1.813,9.853,16.197,21.616,21.442,14.867,14.202
35068,Niagara West,31685,370,3120,5190,7565,6635,4745,4055,1.168,9.847,16.380,23.876,20.941,14.976,12.798
35069,Nickel Belt,35685,675,4235,6430,8780,7350,4825,3390,1.892,11.868,18.019,24.604,20.597,13.521,9.500
35070,Nipissing--Timiskaming,38640,1655,4780,6020,8490,7660,5255,4785,4.283,12.371,15.580,21.972,19.824,13.600,12.384
35071,Northumberland--Peterborough South,42580,635,3520,5990,10105,9330,7365,5635,1.491,8.267,14.068,23.732,21.912,17.297,13.234
35072,Oakville,42880,730,3050,7965,11310,8710,5820,5295,1.702,7.113,18.575,26.376,20.313,13.573,12.348
35073,Oakville North--Burlington,37510,235,5285,11240,10755,5550,2875,1570,0.626,14.090,29.965,28.672,14.796,7.665,4.186
35074,Oshawa,51000,1675,6465,8455,12520,9475,6400,6000,3.284,12.676,16.578,24.549,18.578,12.549,11.765
35075,Ottawa Centre,56865,4230,13250,9590,10485,9335,5300,4680,7.439,23.301,16.865,18.438,16.416,9.320,8.230
35076,Orleans,41855,570,5340,8460,11815,9175,4495,2000,1.362,12.758,20.213,28.228,21.921,10.739,4.778
35077,Ottawa South,48940,2725,7040,8535,10855,8910,5295,5590,5.568,14.385,17.440,22.180,18.206,10.819,11.422
35078,Ottawa--Vanier,51815,3690,8915,8020,10355,9285,6170,5380,7.121,17.205,15.478,19.985,17.920,11.908,10.383
35079,Ottawa West--Nepean,48185,2745,6925,7500,9900,8325,5660,7130,5.697,14.372,15.565,20.546,17.277,11.746,14.797
35080,Oxford,42505,1165,5645,7280,9275,7985,5685,5465,2.741,13.281,17.127,21.821,18.786,13.375,12.857
35081,Parkdale--High Park,48350,1715,9865,11085,9770,7560,4320,4040,3.547,20.403,22.927,20.207,15.636,8.935,8.356
35082,Parry Sound--Muskoka,38175,670,3080,4645,8090,9165,6750,5770,1.755,8.068,12.168,21.192,24.008,17.682,15.115
35083,Perth--Wellington,39920,1260,5315,6615,8920,7790,5035,4980,3.156,13.314,16.571,22.345,19.514,12.613,12.475
35084,Peterborough--Kawartha,48315,1865,5910,6580,9710,9805,6995,7450,3.860,12.232,13.619,20.097,20.294,14.478,15.420
35085,Pickering--Uxbridge,36675,160,3050,6595,11110,8300,4150,3310,0.436,8.316,17.982,30.293,22.631,11.316,9.025
35086,Renfrew--Nipissing--Pembroke,42335,1405,5475,6265,9085,8565,6130,5405,3.319,12.933,14.799,21.460,20.231,14.480,12.767
35087,Richmond Hill,37455,435,3365,7115,9910,8690,4435,3510,1.161,8.984,18.996,26.458,23.201,11.841,9.371
35088,Carleton,30860,290,3475,7310,8555,5765,3355,2105,0.940,11.261,23.688,27.722,18.681,10.872,6.821
35089,St. Catharines,47745,1905,5950,6920,9815,9185,6850,7115,3.990,12.462,14.494,20.557,19.238,14.347,14.902
35090,Toronto--St. Paul's,52230,2190,11820,9540,8885,8285,5875,5635,4.193,22.631,18.265,17.011,15.863,11.248,10.789
35091,Sarnia--Lambton,44640,1440,5435,6350,9495,9635,6330,5965,3.226,12.175,14.225,21.270,21.584,14.180,13.362
35092,Sault Ste. Marie,35375,880,4145,5070,7750,7405,5185,4940,2.488,11.717,14.332,21.908,20.933,14.657,13.965
35093,Scarborough--Agincourt,34955,540,2555,6010,8455,6765,4915,5710,1.545,7.309,17.194,24.188,19.353,14.061,16.335
35094,Scarborough Centre,39285,1035,4715,7540,9420,6910,4440,5215,2.635,12.002,19.193,23.979,17.589,11.302,13.275
35095,Scarborough--Guildwood,35610,915,4780,6870,8155,6430,4290,4190,2.570,13.423,19.292,22.901,18.057,12.047,11.766
35096,Scarborough North,29390,490,2490,5585,7855,6520,3700,2750,1.667,8.472,19.003,26.727,22.184,12.589,9.357
35097,Scarborough--Rouge Park,31635,250,2555,5685,8525,7800,4340,2480,0.790,8.076,17.971,26.948,24.656,13.719,7.839
35098,Scarborough Southwest,40745,925,4970,8185,10385,7870,4335,4080,2.270,12.198,20.088,25.488,19.315,10.639,10.013
35099,Simcoe--Grey,45095,680,4160,7560,10680,9020,7295,5705,1.508,9.225,16.765,23.683,20.002,16.177,12.651
35100,Simcoe North,44695,1020,3930,6315,10315,9775,6970,6375,2.282,8.793,14.129,23.079,21.870,15.595,14.263
35101,Spadina--Fort York,47200,3220,19620,10230,5625,4040,2465,2010,6.822,41.568,21.674,11.917,8.559,5.222,4.258
