Geo_Code,FED_Name,TotBuddhistPct,TotChristianPct,TotAnglicanPct,TotBaptistPct,TotCatholicPct,TotChristianOrthodoxPct,TotLutheranPct,TotPentecostalPct,TotPresbyterianPct,TotUnitedChurchPct,TotOtherChristianPct,TotHinduPct,TotJewishPct,TotMuslimPct,TotSikhPct,TotAboriginalPct,TotOtherPct,TotNoReligiousAffiliationPct,MaleBuddhistPct,MaleChristianPct,MaleAnglicanPct,MaleBaptistPct,MaleCatholicPct,MaleChristianOrthodoxPct,MaleLutheranPct,MalePentecostalPct,MalePresbyterianPct,MaleUnitedChurchPct,MaleOtherChristianPct,MaleHinduPct,MaleJewishPct,MaleMuslimPct,MaleSikhPct,MaleAboriginalPct,MaleOtherPct,MaleNoReligiousAffiliationPct,FemaleBuddhistPct,FemaleChristianPct,FemaleAnglicanPct,FemaleBaptistPct,FemaleCatholicPct,FemaleChristianOrthodoxPct,FemaleLutheranPct,FemalePentecostalPct,FemalePresbyterianPct,FemaleUnitedChurchPct,FemaleOtherChristianPct,FemaleHinduPct,FemaleJewishPct,FemaleMuslimPct,FemaleSikhPct,FemaleAboriginalPct,FemaleOtherPct,FemaleNoReligiousAffiliationPct
35086,Renfrew--Nipissing--Pembroke,0.1654,79.5029,7.377,1.9896,40.5082,0.1954,6.7656,2.0948,2.7162,10.4791,7.382,0.0702,0.1954,0.1503,0.0551,0.0601,0.2456,19.555,0.16,77.103,6.698,1.882,40.429,0.24,6.127,1.882,2.833,9.932,7.099,0.07,0.2,0.17,0.06,0.05,0.19,21.996,0.1605,81.9085,8.0574,2.0971,40.588,0.1505,7.4152,2.3078,2.5988,11.0375,7.6661,0.0502,0.1906,0.1304,0.0602,0.0702,0.291,17.1182
35087,Richmond Hill,3.0149,48.6868,2.7976,1.5398,23.5596,5.9558,0.5225,0.689,1.8912,2.9085,8.8181,1.8774,5.1836,10.8434,0.6427,0,0.8508,28.9004,2.83,46.328,2.591,1.291,22.758,6.005,0.535,0.66,1.817,2.572,8.109,2.018,5.259,10.843,0.746,0,0.822,31.134,3.1874,50.8909,2.9904,1.7817,24.3084,5.9092,0.5103,0.7163,1.9518,3.2232,9.4816,1.737,5.1034,10.8515,0.5462,0,0.8774,26.8063
35088,Carleton,0.6252,75.9941,10.3751,1.1997,39.4615,1.4645,1.2448,0.9801,2.3544,10.4934,8.415,0.8223,0.2704,2.0784,0.1521,0,0.2985,19.7533,0.555,73.707,9.994,1.381,38.347,1.46,1.132,0.951,2.343,9.61,8.466,0.758,0.272,2.264,0.136,0,0.272,22.049,0.6839,78.2511,10.7623,1.009,40.5605,1.4686,1.3677,1.009,2.3655,11.3677,8.352,0.8857,0.2578,1.8946,0.1794,0,0.3363,17.4776
35089,St. Catharines,0.5851,71.5806,9.3887,1.8934,31.2664,1.3866,1.4972,1.9256,3.6532,7.5091,13.0603,0.2257,0.3317,1.898,0.0369,0.0138,0.3685,24.9597,0.533,68.679,8.69,1.724,30.701,1.492,1.531,1.87,3.275,6.733,12.672,0.203,0.436,2.054,0.029,0,0.281,27.766,0.6236,74.2029,10.022,2.0466,31.7699,1.2912,1.4668,1.9763,3.9965,8.2038,13.4124,0.2459,0.2459,1.7655,0.0351,0,0.448,22.4067
35090,Toronto--St. Paul's,1.169,52.5994,6.1063,1.0062,26.7781,4.1334,0.8484,1.0062,1.4748,3.7782,7.4677,1.4156,14.748,2.4909,0.074,0.0444,0.73,26.7239,1.178,48.671,5.943,0.789,24.476,4.128,0.789,0.832,1.232,3.598,6.894,1.47,15.68,2.82,0,0,0.67,29.458,1.1707,55.9034,6.2438,1.1979,28.7231,4.1383,0.8984,1.1435,1.6789,3.9387,7.9499,1.3794,13.9577,2.2234,0.118,0.0635,0.7805,24.4215
35091,Sarnia--Lambton,0.2249,70.2589,7.2451,3.2923,27.2766,0.5934,1.0432,1.7132,4.5461,14.1839,10.3699,0.4355,0.1771,0.536,0.1627,0.1531,0.311,27.7408,0.167,67.108,6.596,2.925,26.688,0.559,0.962,1.472,4.299,13.722,9.884,0.461,0.245,0.579,0.196,0.098,0.304,30.83,0.2801,73.2493,7.8618,3.6321,27.8431,0.6256,1.1111,1.9328,4.7712,14.6218,10.831,0.4015,0.112,0.5042,0.1307,0.1961,0.3175,24.7993
35092,Sault Ste. Marie,0.0311,73.8336,6.5105,1.7829,39.9329,0.2858,2.6775,1.5593,1.7767,9.9832,9.3309,0.205,0.2361,0.1739,0,0.3852,0.292,24.8431,0,70.821,5.798,1.644,38.978,0.293,2.74,1.325,1.593,9.314,9.136,0.229,0.331,0.268,0,0.382,0.217,27.74,0.0364,76.7095,7.1775,1.9035,40.8463,0.291,2.6067,1.7823,1.952,10.6329,9.5296,0.1819,0.1455,0.0849,0,0.388,0.3637,22.0902
35093,Scarborough--Agincourt,5.5655,42.6947,2.2794,1.9552,18.0177,5.2945,0.3001,1.4857,1.0453,1.7132,10.6083,7.8837,0.1403,6.5479,0.3436,0,0.3194,36.5049,5.091,39.731,1.975,1.456,17.269,5.549,0.234,1.232,0.886,1.588,9.561,8.146,0.153,7.005,0.275,0,0.295,39.314,5.9952,45.3699,2.5641,2.4073,18.6958,5.0636,0.3597,1.7156,1.1898,1.8355,11.5569,7.637,0.1384,6.1336,0.4151,0,0.3413,33.9605
35094,Scarborough Centre,1.738,55.9733,3.7881,2.2784,25.9808,6.7887,0.6896,2.2924,1.258,2.7211,10.1715,13.2047,0.1724,11.942,0.3122,0,0.2656,16.3871,1.462,53.548,3.398,2.217,25.167,7.153,0.629,1.8,1.026,2.565,9.592,13.716,0.184,12.409,0.319,0,0.329,18.043,1.9944,58.2248,4.1596,2.3448,26.7451,6.4415,0.7367,2.7491,1.4644,2.8659,10.7088,12.7302,0.1617,11.4994,0.3055,0,0.2066,14.8594
35095,Scarborough--Guildwood,1.1693,52.6321,3.667,2.0102,23.5844,3.269,0.4826,3.0501,1.831,2.8112,11.9216,16.2404,0.1542,14.8174,0.8707,0.1542,0.413,13.5436,1.009,49.182,3.283,1.698,22.723,3.242,0.484,2.501,1.595,2.418,11.269,17.269,0.165,15.756,0.998,0.144,0.432,15.056,1.3198,55.8671,4.027,2.3025,24.3834,3.3141,0.4913,3.5645,2.052,3.1888,12.5434,15.2794,0.1541,13.9403,0.7322,0.1734,0.4046,12.1195
