Geo_Code,FED_Name,TotalNumberOfPrivateHouseholdsByAgeGroupOfPrimaryHouseholdMaintainers,Under25Years,25To34Years,35To44Years,45To54Years,55To64Years,65To74Years,75AndOver
24050,Montcalm,38610,1205,6625,7755,9520,7150,4380,1975
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,42215,1235,4785,5850,9250,9465,6820,4810
24052,Mount Royal,39515,965,5025,7145,7585,6920,5285,6590
24053,Notre-Dame-de-Grace--Westmount,47565,2445,7840,8750,9100,8440,5360,5625
24054,Outremont,47650,4455,11675,8755,7700,6650,4380,4035
24055,Papineau,50940,2845,11665,10180,9415,7310,4885,4640
24056,Pierrefonds--Dollard,38940,560,3665,7110,9835,8535,5365,3875
24057,Pontiac,42410,1015,6230,8360,10440,8675,4870,2820
24058,Portneuf--Jacques-Cartier,41840,880,6465,7690,9915,8450,5230,3210
24059,Quebec,53370,3045,10535,6380,8980,10640,7035,6760
24060,Repentigny,44580,930,5700,7980,11355,9060,5720,3825
24061,Richmond--Arthabaska,44795,1440,6075,6795,9580,9915,6585,4405
24062,Riviere-des-Mille-iles,40015,1165,4875,7665,10930,7830,4735,2815
24063,Riviere-du-Nord,44580,1785,6200,7450,10385,8680,6120,3960
24064,Rosemont--La Petite-Patrie,57270,3020,15255,10750,10665,8515,4595,4475
24065,Marc-Aurele-Fortin,34810,560,4085,7820,9810,6620,3550,2365
24066,Saint-Hyacinthe--Bagot,43010,1885,6410,6665,9575,8710,5720,4050
24067,Saint-Jean,45430,1555,7095,8040,10240,9015,5740,3740
24068,Saint-Laurent,35985,890,5330,7860,7195,5620,4205,4880
24069,Saint-Leonard--Saint-Michel,43990,980,5600,9785,8605,6770,6325,5925
24070,Saint-Maurice--Champlain,50075,1130,5790,6155,11340,11395,8010,6255
24071,Salaberry--Suroit,46095,1440,5990,6940,10185,9485,6935,5120
24072,Shefford,45845,1840,6635,7030,10635,9610,6270,3830
24073,Sherbrooke,51980,4625,8690,6965,9780,9535,6475,5920
24074,Vaudreuil--Soulanges,42455,720,5625,9635,10930,8070,4590,2875
24075,Terrebonne,39390,1050,6430,8795,10475,6905,3905,1825
24076,Trois-Rivieres,52520,3120,7450,6625,10710,10355,7975,6275
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,55770,7115,14485,8875,8165,8315,5090,3725
24078,Vimy,45100,1580,6455,7265,9330,8280,6295,5890
35001,Ajax,35040,240,4315,8740,10450,6490,2795,2010
35002,Algoma--Manitoulin--Kapuskasing,35140,875,3200,4505,7580,8220,6235,4515
35003,Aurora--Oak Ridges--Richmond Hill,31535,180,2565,8660,10710,5495,2635,1280
35004,Barrie--Innisfil,35425,580,4840,8810,9550,5180,3675,2780
35005,Barrie--Springwater--Oro-Medonte,37630,1300,4905,6150,9620,7370,4500,3780
35006,Bay of Quinte,45960,1485,5350,6490,9965,9165,7005,6500
35007,Beaches--East York,45680,1205,6170,10435,11195,8680,4405,3595
35008,Brampton Centre,33675,510,3985,7455,8780,6520,4115,2305
35009,Brampton East,22960,175,3575,7570,6485,3580,1170,395
35010,Brampton North,30680,350,3230,7470,9305,6170,3080,1075
35011,Brampton South,34635,745,4760,7670,8650,6230,3460,3115
35012,Brampton West,27325,265,4645,8870,7685,3635,1510,715
35013,Brantford--Brant,51735,1640,6705,9140,11445,10295,6505,6005
35014,Bruce--Grey--Owen Sound,43830,1025,4530,5640,9380,9720,7375,6170
35015,Burlington,49580,650,4955,8205,11135,9295,7300,8035
35016,Cambridge,41465,1150,5915,8540,9925,7365,4625,3950
35017,Chatham-Kent--Leamington,44380,1205,5510,7065,9855,9015,6005,5725
35018,Davenport,41260,1570,8675,8410,8270,6235,3995,4100
35019,Don Valley East,37595,790,4720,7590,8235,6280,4410,5570
35020,Don Valley North,38010,670,4485,7375,8220,6680,5315,5265
35021,Don Valley West,39215,840,5200,8170,8995,7135,4695,4165
35022,Dufferin--Caledon,39155,310,3765,8585,10845,7900,4700,3045
35023,Durham,40640,635,5255,8610,10775,7205,4515,3640
35024,Eglinton--Lawrence,43950,980,5695,8505,9730,8115,4755,6175
35025,Elgin--Middlesex--London,41635,955,4765,7675,9640,8320,5725,4560
35026,Essex,43850,475,4290,8720,11045,9025,5900,4395
35027,Etobicoke Centre,43520,570,3400,6635,10315,8375,5990,8235
35028,Etobicoke--Lakeshore,52635,1185,7780,10325,11745,9575,5640,6375
35029,Etobicoke North,37110,1000,4630,7980,8695,6655,4230,3915
35030,Flamborough--Glanbrook,33535,195,3730,6885,8675,6355,3920,3760
35031,Glengarry--Prescott--Russell,41065,870,4760,7265,10745,8425,5480,3520
35032,Guelph,48115,2280,8095,9050,10610,8290,4755,5040
35033,Haldimand--Norfolk,41865,725,4185,6375,9610,9390,6220,5355
35034,Haliburton--Kawartha Lakes--Brock,44750,635,3635,5545,9760,10600,7800,6770
35035,Hamilton Centre,47670,3240,8710,7990,9980,8355,4760,4640
35036,Hamilton East--Stoney Creek,42965,1010,4870,7320,9260,8385,6135,5990
35037,Hamilton Mountain,39315,855,4490,6510,9610,7370,4845,5635
35038,Hamilton West--Ancaster--Dundas,40325,1455,3935,6630,9350,8180,5340,5440
35039,Hastings--Lennox and Addington,36405,580,3620,5370,8285,8450,6050,4060
35040,Huron--Bruce,42410,1050,5025,5650,8850,9320,6710,5810
35041,Kanata--Carleton,34995,395,4265,8380,9780,6465,3610,2110
35042,Kenora,21145,785,2920,3365,4810,4405,2620,2240
35043,King--Vaughan,31970,110,3875,9015,9215,4865,2895,1985
35044,Kingston and the Islands,50415,3615,7930,7575,10245,8650,6260,6140
35045,Kitchener Centre,45035,2065,7645,7870,9525,7475,5105,5360
35046,Kitchener--Conestoga,30935,455,5040,6825,7355,5720,3355,2200
35047,Kitchener South--Hespeler,35725,1120,6640,7905,8540,6220,3420,1880
35048,Lambton--Kent--Middlesex,40620,770,4230,6615,9535,8375,6195,4905
35049,Lanark--Frontenac--Kingston,39210,625,3230,5770,9610,9175,6295,4510
35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,41070,675,3855,6205,9285,9120,6500,5435
35051,London--Fanshawe,46730,1720,7320,8595,11340,8740,5095,3915
35052,London North Centre,54015,4895,9670,8360,10335,8585,5750,6415
35053,London West,49455,1600,7610,8495,10640,9495,6060,5555
35054,Markham--Stouffville,35490,250,4080,8605,8475,6765,4185,3130
35055,Markham--Thornhill,27975,345,1885,5110,8055,7335,3585,1660
35056,Markham--Unionville,31095,335,2915,7010,9280,6785,2870,1895
35057,Milton,28785,180,5930,8415,6130,4300,2345,1485
35058,Mississauga Centre,41130,850,6325,8535,10460,7690,4435,2835
35059,Mississauga East--Cooksville,43070,715,4650,8170,10445,8795,5755,4535
35060,Mississauga--Erin Mills,35610,440,3155,8400,10930,7355,3360,1965
35061,Mississauga--Lakeshore,44545,585,4655,8295,11430,8935,5760,4880
35062,Mississauga--Malton,33300,595,3725,8215,10085,6335,2880,1460
35063,Mississauga--Streetsville,36935,435,3670,8785,11685,7555,3085,1720
35064,Nepean,36065,570,5350,8770,9560,6395,3345,2070
35065,Newmarket--Aurora,37230,445,4175,8450,10760,6970,3390,3050
35066,Niagara Centre,43405,1185,4910,6995,9650,8515,5885,6255
35067,Niagara Falls,51860,940,5110,8400,11210,11120,7710,7365
35068,Niagara West,31685,370,3120,5190,7565,6635,4745,4055
35069,Nickel Belt,35685,675,4235,6430,8780,7350,4825,3390
35070,Nipissing--Timiskaming,38640,1655,4780,6020,8490,7660,5255,4785
35071,Northumberland--Peterborough South,42580,635,3520,5990,10105,9330,7365,5635
35072,Oakville,42880,730,3050,7965,11310,8710,5820,5295
35073,Oakville North--Burlington,37510,235,5285,11240,10755,5550,2875,1570
35074,Oshawa,51000,1675,6465,8455,12520,9475,6400,6000
35075,Ottawa Centre,56865,4230,13250,9590,10485,9335,5300,4680
35076,Orleans,41855,570,5340,8460,11815,9175,4495,2000
35077,Ottawa South,48940,2725,7040,8535,10855,8910,5295,5590
