Electoral district number,Electoral district name,Conservative % Votes Obtained (2015),Liberal % Votes Obtained (2015),NDP % Votes Obtained (2015),Bloc Quebecois % Votes Obtained (2015),Green Party % Votes Obtained (2015),Other % Votes Obtained (2015)
24054,Outremont,9.5,33.5,44.1,8.4,3.6,0.9
24055,Papineau,4.7,52,25.9,12.2,2.8,2.4
24056,Pierrefonds--Dollard,20,58.7,16.4,3.5,1.5,0
24057,Pontiac,13.9,54.5,22.5,6.9,1.7,0.4
24058,Portneuf--Jacques-Cartier,44,21.5,22.1,10.7,1.8,0
24059,Quebec,21.8,28.9,27,18.8,2.9,0.5
24060,Repentigny,10.8,27.3,23.3,34.7,1.9,2
24061,Richmond--Arthabaska,31.6,24.7,24.2,17.2,1.7,0.7
24062,Riviere-des-Mille-iles,10.5,32.4,29.5,25.4,2,0.3
24063,Riviere-du-Nord,8.5,26.4,30.1,32,2.5,0.5
24064,Rosemont--La Petite-Patrie,4.3,20.7,49.2,21.1,3.1,1.7
24065,Marc-Aurele-Fortin,11.9,40.9,23.5,21.7,1.9,0
24066,Saint-Hyacinthe--Bagot,16.7,27.6,28.7,24.3,2.3,0.5
24067,Saint-Jean,10.8,33.2,29.1,24.8,2.1,0
24068,Saint-Laurent,19.5,61.6,11.5,4.7,2.4,0.3
24069,Saint-Leonard--Saint-Michel,11.1,64.7,14.8,7.2,1.8,0.3
24070,Saint-Maurice--Champlain,16.3,41.5,20.8,19.2,1.9,0.3
24071,Salaberry--Suroit,10,29.2,30.4,28.4,1.4,0.7
24072,Shefford,12.8,39,23.7,22.2,2.4,0
24073,Sherbrooke,9.4,29.8,37.4,20.4,2,1
24074,Vaudreuil--Soulanges,13.8,46.6,22.3,15,2.2,0
24075,Terrebonne,11.3,28,25.6,33,1.7,0.3
24076,Trois-Rivieres,18.6,30.2,31.8,17,1.7,0.6
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,11.9,50.8,23.4,8.6,4.8,0.5
24078,Vimy,13.4,46.2,21,16.7,2.4,0.5
35001,Ajax,34.4,55.9,8.2,0,1.4,0.1
35002,Algoma--Manitoulin--Kapuskasing,23.7,34.1,39.9,0,2.2,0
35003,Aurora--Oak Ridges--Richmond Hill,45.2,47.3,5.7,0,1.3,0.5
35004,Barrie--Innisfil,46.4,37.1,11.8,0,4,0.7
35005,Barrie--Springwater--Oro-Medonte,41.8,41.5,10.3,0,5.2,1.2
35006,Bay of Quinte,34.3,50.7,12.1,0,2.2,0.6
35007,Beaches--East York,16.4,49.4,30.8,0,2.6,0.8
35008,Brampton Centre,33.7,48.6,15.1,0,2.1,0.4
35009,Brampton East,23.5,52.3,23,0,1.1,0
35010,Brampton North,33,48.4,16.5,0,1.9,0.2
35011,Brampton South,35,52.1,10.7,0,2.2,0
35012,Brampton West,30.1,55.9,12.4,0,1.6,0
35013,Brantford--Brant,40.9,30.7,24.8,0,2.5,1.1
35014,Bruce--Grey--Owen Sound,46.7,38.8,11.1,0,3.3,0
35015,Burlington,42.5,46,9.1,0,2.4,0
35016,Cambridge,38.6,43.2,13.9,0,3.2,1.1
35017,Chatham-Kent--Leamington,41.7,37.2,18.4,0,2.7,0
35018,Davenport,10.6,44.3,41.4,0,3.1,0.7
35019,Don Valley East,29.2,57.8,10.4,0,2.6,0
35020,Don Valley North,37.8,51.4,8.5,0,2.2,0
35021,Don Valley West,37.6,53.8,6,0,1.7,0.9
35022,Dufferin--Caledon,46.3,39.1,7.3,0,7.3,0
35023,Durham,45.1,35.8,16,0,2.5,0.6
35024,Eglinton--Lawrence,42.6,48.9,6.3,0,1.4,0.8
35025,Elgin--Middlesex--London,49.2,31,15.4,0,3.1,1.2
35026,Essex,35.7,20.9,41.4,0,1.9,0.1
35027,Etobicoke Centre,37.3,52.8,7.9,0,1.4,0.6
35028,Etobicoke--Lakeshore,32.4,53.7,10.9,0,2.3,0.7
35029,Etobicoke North,23,62.4,12.4,0,1.2,1
35030,Flamborough--Glanbrook,43.5,39.1,14,0,3.4,0
35031,Glengarry--Prescott--Russell,36.4,53.3,7.9,0,1.8,0.6
35032,Guelph,26.3,49.1,12,0,11.3,1.2
35033,Haldimand--Norfolk,44.1,36.6,13.6,0,3.3,2.4
35034,Haliburton--Kawartha Lakes--Brock,44.8,31.8,19.4,0,4,0
35035,Hamilton Centre,14.6,33.4,45.6,0,4.3,2.1
35036,Hamilton East--Stoney Creek,25.3,39,32.7,0,2.6,0.4
35037,Hamilton Mountain,25.7,33.5,35.9,0,2.5,2.4
35038,Hamilton West--Ancaster--Dundas,31.8,47.7,16.3,0,4.2,0
35039,Hastings--Lennox and Addington,41.9,42.4,12.7,0,2.9,0
35040,Huron--Bruce,44.9,39.7,13,0,2.4,0
