Geo_Code,Prov_Name,FED_Name,GNR,Topic,Characteristic,Total,Male,Female
11002,Prince Edward Island,Charlottetown,24.3,Household characteristics,Total number of private households by age group of primary household maintainers,15000,,
11002,Prince Edward Island,Charlottetown,24.3,Household characteristics,Under 25 years,930,,
11002,Prince Edward Island,Charlottetown,24.3,Household characteristics,25 to 34 years,2100,,
11002,Prince Edward Island,Charlottetown,24.3,Household characteristics,35 to 44 years,2230,,
11002,Prince Edward Island,Charlottetown,24.3,Household characteristics,45 to 54 years,3120,,
11002,Prince Edward Island,Charlottetown,24.3,Household characteristics,55 to 64 years,2840,,
11002,Prince Edward Island,Charlottetown,24.3,Household characteristics,65 to 74 years,1890,,
11002,Prince Edward Island,Charlottetown,24.3,Household characteristics,75 years and over,1890,,
11003,Prince Edward Island,Egmont,38.6,Household characteristics,Total number of private households by age group of primary household maintainers,13960,,
11003,Prince Edward Island,Egmont,38.6,Household characteristics,Under 25 years,335,,
11003,Prince Edward Island,Egmont,38.6,Household characteristics,25 to 34 years,1635,,
11003,Prince Edward Island,Egmont,38.6,Household characteristics,35 to 44 years,2170,,
11003,Prince Edward Island,Egmont,38.6,Household characteristics,45 to 54 years,3045,,
11003,Prince Edward Island,Egmont,38.6,Household characteristics,55 to 64 years,3110,,
11003,Prince Edward Island,Egmont,38.6,Household characteristics,65 to 74 years,2010,,
11003,Prince Edward Island,Egmont,38.6,Household characteristics,75 years and over,1655,,
11004,Prince Edward Island,Malpeque,34.3,Household characteristics,Total number of private households by age group of primary household maintainers,13490,,
11004,Prince Edward Island,Malpeque,34.3,Household characteristics,Under 25 years,255,,
11004,Prince Edward Island,Malpeque,34.3,Household characteristics,25 to 34 years,1420,,
11004,Prince Edward Island,Malpeque,34.3,Household characteristics,35 to 44 years,2570,,
11004,Prince Edward Island,Malpeque,34.3,Household characteristics,45 to 54 years,3095,,
11004,Prince Edward Island,Malpeque,34.3,Household characteristics,55 to 64 years,3025,,
11004,Prince Edward Island,Malpeque,34.3,Household characteristics,65 to 74 years,1940,,
11004,Prince Edward Island,Malpeque,34.3,Household characteristics,75 years and over,1180,,
12001,Nova Scotia,Cape Breton--Canso,30.8,Household characteristics,Total number of private households by age group of primary household maintainers,31275,,
12001,Nova Scotia,Cape Breton--Canso,30.8,Household characteristics,Under 25 years,395,,
12001,Nova Scotia,Cape Breton--Canso,30.8,Household characteristics,25 to 34 years,2460,,
12001,Nova Scotia,Cape Breton--Canso,30.8,Household characteristics,35 to 44 years,4290,,
12001,Nova Scotia,Cape Breton--Canso,30.8,Household characteristics,45 to 54 years,6765,,
12001,Nova Scotia,Cape Breton--Canso,30.8,Household characteristics,55 to 64 years,7665,,
12001,Nova Scotia,Cape Breton--Canso,30.8,Household characteristics,65 to 74 years,5485,,
12001,Nova Scotia,Cape Breton--Canso,30.8,Household characteristics,75 years and over,4220,,
12002,Nova Scotia,Central Nova,30.5,Household characteristics,Total number of private households by age group of primary household maintainers,31785,,
12002,Nova Scotia,Central Nova,30.5,Household characteristics,Under 25 years,825,,
12002,Nova Scotia,Central Nova,30.5,Household characteristics,25 to 34 years,2995,,
12002,Nova Scotia,Central Nova,30.5,Household characteristics,35 to 44 years,4670,,
12002,Nova Scotia,Central Nova,30.5,Household characteristics,45 to 54 years,7115,,
12002,Nova Scotia,Central Nova,30.5,Household characteristics,55 to 64 years,7065,,
12002,Nova Scotia,Central Nova,30.5,Household characteristics,65 to 74 years,4745,,
12002,Nova Scotia,Central Nova,30.5,Household characteristics,75 years and over,4360,,
12003,Nova Scotia,Cumberland--Colchester,34,Household characteristics,Total number of private households by age group of primary household maintainers,35355,,
12003,Nova Scotia,Cumberland--Colchester,34,Household characteristics,Under 25 years,955,,
12003,Nova Scotia,Cumberland--Colchester,34,Household characteristics,25 to 34 years,3545,,
12003,Nova Scotia,Cumberland--Colchester,34,Household characteristics,35 to 44 years,5535,,
12003,Nova Scotia,Cumberland--Colchester,34,Household characteristics,45 to 54 years,7350,,
12003,Nova Scotia,Cumberland--Colchester,34,Household characteristics,55 to 64 years,7320,,
12003,Nova Scotia,Cumberland--Colchester,34,Household characteristics,65 to 74 years,5700,,
12003,Nova Scotia,Cumberland--Colchester,34,Household characteristics,75 years and over,4945,,
12004,Nova Scotia,Dartmouth--Cole Harbour,24.4,Household characteristics,Total number of private households by age group of primary household maintainers,39380,,
12004,Nova Scotia,Dartmouth--Cole Harbour,24.4,Household characteristics,Under 25 years,1855,,
12004,Nova Scotia,Dartmouth--Cole Harbour,24.4,Household characteristics,25 to 34 years,5655,,
12004,Nova Scotia,Dartmouth--Cole Harbour,24.4,Household characteristics,35 to 44 years,6865,,
12004,Nova Scotia,Dartmouth--Cole Harbour,24.4,Household characteristics,45 to 54 years,9480,,
12004,Nova Scotia,Dartmouth--Cole Harbour,24.4,Household characteristics,55 to 64 years,7560,,
12004,Nova Scotia,Dartmouth--Cole Harbour,24.4,Household characteristics,65 to 74 years,4310,,
12004,Nova Scotia,Dartmouth--Cole Harbour,24.4,Household characteristics,75 years and over,3645,,
12005,Nova Scotia,Halifax,29.4,Household characteristics,Total number of private households by age group of primary household maintainers,44045,,
12005,Nova Scotia,Halifax,29.4,Household characteristics,Under 25 years,5625,,
12005,Nova Scotia,Halifax,29.4,Household characteristics,25 to 34 years,9185,,
12005,Nova Scotia,Halifax,29.4,Household characteristics,35 to 44 years,6315,,
12005,Nova Scotia,Halifax,29.4,Household characteristics,45 to 54 years,7965,,
12005,Nova Scotia,Halifax,29.4,Household characteristics,55 to 64 years,6895,,
12005,Nova Scotia,Halifax,29.4,Household characteristics,65 to 74 years,4060,,
12005,Nova Scotia,Halifax,29.4,Household characteristics,75 years and over,4000,,
12006,Nova Scotia,Halifax West,19.7,Household characteristics,Total number of private households by age group of primary household maintainers,36510,,
12006,Nova Scotia,Halifax West,19.7,Household characteristics,Under 25 years,1620,,
12006,Nova Scotia,Halifax West,19.7,Household characteristics,25 to 34 years,6580,,
12006,Nova Scotia,Halifax West,19.7,Household characteristics,35 to 44 years,7005,,
12006,Nova Scotia,Halifax West,19.7,Household characteristics,45 to 54 years,8100,,
12006,Nova Scotia,Halifax West,19.7,Household characteristics,55 to 64 years,6405,,
12006,Nova Scotia,Halifax West,19.7,Household characteristics,65 to 74 years,3700,,
12006,Nova Scotia,Halifax West,19.7,Household characteristics,75 years and over,3110,,
12007,Nova Scotia,Kings--Hants,27.1,Household characteristics,Total number of private households by age group of primary household maintainers,34075,,
12007,Nova Scotia,Kings--Hants,27.1,Household characteristics,Under 25 years,1140,,
12007,Nova Scotia,Kings--Hants,27.1,Household characteristics,25 to 34 years,3830,,
12007,Nova Scotia,Kings--Hants,27.1,Household characteristics,35 to 44 years,5735,,
12007,Nova Scotia,Kings--Hants,27.1,Household characteristics,45 to 54 years,7770,,
12007,Nova Scotia,Kings--Hants,27.1,Household characteristics,55 to 64 years,6975,,
12007,Nova Scotia,Kings--Hants,27.1,Household characteristics,65 to 74 years,4745,,
12007,Nova Scotia,Kings--Hants,27.1,Household characteristics,75 years and over,3880,,
12008,Nova Scotia,Sackville--Preston--Chezzetcook,24.5,Household characteristics,Total number of private households by age group of primary household maintainers,31620,,
12008,Nova Scotia,Sackville--Preston--Chezzetcook,24.5,Household characteristics,Under 25 years,610,,
12008,Nova Scotia,Sackville--Preston--Chezzetcook,24.5,Household characteristics,25 to 34 years,3990,,
12008,Nova Scotia,Sackville--Preston--Chezzetcook,24.5,Household characteristics,35 to 44 years,7035,,
12008,Nova Scotia,Sackville--Preston--Chezzetcook,24.5,Household characteristics,45 to 54 years,8515,,
12008,Nova Scotia,Sackville--Preston--Chezzetcook,24.5,Household characteristics,55 to 64 years,6275,,
12008,Nova Scotia,Sackville--Preston--Chezzetcook,24.5,Household characteristics,65 to 74 years,3505,,
12008,Nova Scotia,Sackville--Preston--Chezzetcook,24.5,Household characteristics,75 years and over,1695,,
12009,Nova Scotia,South Shore--St. Margarets,29.2,Household characteristics,Total number of private households by age group of primary household maintainers,39565,,
12009,Nova Scotia,South Shore--St. Margarets,29.2,Household characteristics,Under 25 years,590,,
12009,Nova Scotia,South Shore--St. Margarets,29.2,Household characteristics,25 to 34 years,3590,,
12009,Nova Scotia,South Shore--St. Margarets,29.2,Household characteristics,35 to 44 years,6120,,
12009,Nova Scotia,South Shore--St. Margarets,29.2,Household characteristics,45 to 54 years,9040,,
12009,Nova Scotia,South Shore--St. Margarets,29.2,Household characteristics,55 to 64 years,8485,,
12009,Nova Scotia,South Shore--St. Margarets,29.2,Household characteristics,65 to 74 years,6450,,
12009,Nova Scotia,South Shore--St. Margarets,29.2,Household characteristics,75 years and over,5300,,
12010,Nova Scotia,Sydney--Victoria,27.4,Household characteristics,Total number of private households by age group of primary household maintainers,30675,,
12010,Nova Scotia,Sydney--Victoria,27.4,Household characteristics,Under 25 years,600,,
12010,Nova Scotia,Sydney--Victoria,27.4,Household characteristics,25 to 34 years,3045,,
12010,Nova Scotia,Sydney--Victoria,27.4,Household characteristics,35 to 44 years,4285,,
12010,Nova Scotia,Sydney--Victoria,27.4,Household characteristics,45 to 54 years,6470,,
12010,Nova Scotia,Sydney--Victoria,27.4,Household characteristics,55 to 64 years,6820,,
12010,Nova Scotia,Sydney--Victoria,27.4,Household characteristics,65 to 74 years,5000,,
12010,Nova Scotia,Sydney--Victoria,27.4,Household characteristics,75 years and over,4460,,
12011,Nova Scotia,West Nova,34.9,Household characteristics,Total number of private households by age group of primary household maintainers,36005,,
12011,Nova Scotia,West Nova,34.9,Household characteristics,Under 25 years,860,,
12011,Nova Scotia,West Nova,34.9,Household characteristics,25 to 34 years,3720,,
12011,Nova Scotia,West Nova,34.9,Household characteristics,35 to 44 years,5475,,
