Geo_Code,Prov_Name,FED_Name,GNR,Topic,Characteristic,Total,Male,Female
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Education,High school diploma or equivalent,9965,4380,5590
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Education,"Postsecondary certificate, diploma or degree",21725,10625,11100
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Education,Apprenticeship or trades certificate or diploma,7170,4545,2625
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Education,"College, CEGEP or other non-university certificate or diploma",9205,3760,5445
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Education,University certificate or diploma below bachelor level,1020,385,635
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Education,"University certificate, diploma or degree at bachelor level or above",4330,1930,2395
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Education,Bachelor's degree,3000,1240,1760
10003,Newfoundland and Labrador,Coast of Bays--Central--Notre Dame,31.5,Education,"University certificate, diploma or degree above bachelor level",1325,695,635
10004,Newfoundland and Labrador,Labrador,29,Education,"Total population aged 15 years and over by highest certificate, diploma or degree",21230,10730,10500
10004,Newfoundland and Labrador,Labrador,29,Education,"No certificate, diploma or degree",6295,3150,3150
10004,Newfoundland and Labrador,Labrador,29,Education,High school diploma or equivalent,4220,1930,2290
10004,Newfoundland and Labrador,Labrador,29,Education,"Postsecondary certificate, diploma or degree",10715,5650,5065
10004,Newfoundland and Labrador,Labrador,29,Education,Apprenticeship or trades certificate or diploma,3605,2540,1070
10004,Newfoundland and Labrador,Labrador,29,Education,"College, CEGEP or other non-university certificate or diploma",4350,2030,2320
10004,Newfoundland and Labrador,Labrador,29,Education,University certificate or diploma below bachelor level,525,260,265
10004,Newfoundland and Labrador,Labrador,29,Education,"University certificate, diploma or degree at bachelor level or above",2235,825,1410
10004,Newfoundland and Labrador,Labrador,29,Education,Bachelor's degree,1625,555,1065
10004,Newfoundland and Labrador,Labrador,29,Education,"University certificate, diploma or degree above bachelor level",610,270,340
10004,Newfoundland and Labrador,Labrador,29,Education,"Total population aged 25 to 64 years by highest certificate, diploma or degree",15540,7735,7800
10004,Newfoundland and Labrador,Labrador,29,Education,"No certificate, diploma or degree",3380,1695,1680
10004,Newfoundland and Labrador,Labrador,29,Education,High school diploma or equivalent,2985,1280,1700
10004,Newfoundland and Labrador,Labrador,29,Education,"Postsecondary certificate, diploma or degree",9175,4755,4420
10004,Newfoundland and Labrador,Labrador,29,Education,Apprenticeship or trades certificate or diploma,2925,2020,900
10004,Newfoundland and Labrador,Labrador,29,Education,"College, CEGEP or other non-university certificate or diploma",3765,1735,2030
10004,Newfoundland and Labrador,Labrador,29,Education,University certificate or diploma below bachelor level,440,220,220
10004,Newfoundland and Labrador,Labrador,29,Education,"University certificate, diploma or degree at bachelor level or above",2040,770,1270
